Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  8,,,,,,,,,
Start Date: 15 October 2023,,,,,,,,,
End Date: 11 November 2023,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004/1901698296,27/10/2023,"£106,700,718.94",,,,
RAIL FOR LONDON LIMITED,MTR Crossrail,Franchise/Concession Fixed Fee,1020/5110355512,10/11/2023,"£24,263,515.05",,,,
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/5110345009,27/10/2023,"£18,785,935.19",,,,
RAIL FOR LONDON LIMITED,Arriva Rail London,Franchise/Concession Fixed Fee,1020/5110356919,10/11/2023,"£17,895,075.66",,,,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900049570,27/10/2023,"£15,966,980.37",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049558,27/10/2023,"£14,523,133.55",,,,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900049565,27/10/2023,"£13,751,031.29",,,,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900049562,27/10/2023,"£11,684,279.42",,,,
TRANSPORT TRADING LTD,HEATHROW EXPRESS ,JFT Suspense  - TTL,1004/1901698180,25/10/2023,"£11,519,698.44",,,,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900049564,27/10/2023,"£10,933,765.85",,,,
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006/1900049568,27/10/2023,"£10,912,859.48",,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012/5110352641,07/11/2023,"£8,887,967.74",,,,
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110337575,25/10/2023,"£7,996,041.02",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049559,27/10/2023,"£7,207,391.25",,,,
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049572,27/10/2023,"£7,058,191.24",,,,
