Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  09,,,,,,,,,
Start Date:  12 November 2023,,,,,,,,,
End Date: 09 December 2023,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
TRANSPORT TRADING LTD,Rail Settlement Plan,JFT Creditor TTL,1004/1901699038,24 November 2023,"1,510,789,411.60",,,,
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/5110358276,21 November 2023,"19,597,604.20",,,,
RAIL FOR LONDON LIMITED,MTR Crossrail,Franchise/Concession Fixed Fee,1020/5110370191,06 December 2023,"18,271,474.76",,,,
RAIL FOR LONDON LIMITED,Arriva Rail London,Franchise/Concession Fixed Fee,1020/5110371926,08 December 2023,"18,106,866.59",,,,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900049672,24 November 2023,"16,246,954.65",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049660,24 November 2023,"14,269,185.63",,,,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900049667,24 November 2023,"13,602,894.77",,,,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900049664,24 November 2023,"11,620,034.88",,,,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900049666,24 November 2023,"11,269,349.72",,,,
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006/1900049670,24 November 2023,"11,055,162.40",,,,
TRANSPORT TRADING LTD,HEATHROW EXPRESS ,JFT Suspense  - TTL,1004/1901698868,22 November 2023,"10,088,199.06",,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012/5110371923,04 December 2023,"8,745,793.38",,,,
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110361405,06 December 2023,"8,313,279.33",,,,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049658,24 November 2023,"7,429,555.40",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049661,24 November 2023,"7,233,308.68",,,,
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049674,24 November 2023,"6,958,616.35",,,,
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004/1901699039,24 November 2023,"6,313,647.03",,,,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110361099,23 November 2023,"5,777,597.52",,,,
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001/5110356168,29 November 2023,"5,654,342.95",,,,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900049713,08 December 2023,"5,172,240.17",,,,
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,Rates,1004/1901698810,14 November 2023,"5,002,257.53",,,,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049659,24 November 2023,"4,715,281.48",,,,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049673,24 November 2023,"4,642,132.62",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049701,08 December 2023,"4,559,144.32",,,,
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900049671,24 November 2023,"4,526,150.71",,,,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900049708,08 December 2023,"4,342,476.87",,,,
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900049662,24 November 2023,"4,240,562.25",,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005/5110353766,22 November 2023,"4,147,514.44",,,,
LUL NOMINEE SSL LIMITED,Ground Transportation Systems UKLtd,Signalling Systems,1031/5110366869,06 December 2023,"4,127,731.07",,,,
LONDON UNDERGROUND LTD,Dept for LevellingUp Housing&Commun,Property Letting Costs,1005/5110271945,16 November 2023,"4,096,000.00",,,,
LUL NOMINEE SSL LIMITED,Ground Transportation Systems UKLtd,Signalling Systems,1031/5110352398,16 November 2023,"3,828,539.18",,,,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900049705,08 December 2023,"3,753,464.89",,,,
