Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  13,,,,,,,,,
Start Date:  03 March 2024,,,,,,,,,
End Date: 31 March 2024,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004/1901701609,15 March 2024,"£107,763,793",,,,
RAIL FOR LONDON LIMITED,MTR Crossrail,Franchise/Concession Fixed Fee,1020/5110428238,27 March 2024,"£23,100,269",,,,
RAIL FOR LONDON LIMITED,Arriva Rail London,Franchise/Concession Fixed Fee,1020/5110430318,28 March 2024,"£19,098,950",,,,
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/5110418739,19 March 2024,"£18,174,397",,,,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900050084,15 March 2024,"£17,095,257",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900050072,15 March 2024,"£14,661,500",,,,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900050079,15 March 2024,"£14,569,312",,,,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900050076,15 March 2024,"£12,718,053",,,,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900050078,15 March 2024,"£11,501,652",,,,
TRANSPORT TRADING LTD,LONDON COUNCILS,Gross Sales Clearance,1004/1901701775,28 March 2024,"£11,237,000",,,,
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006/1900050082,15 March 2024,"£10,956,879",,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012/5110426061,22 March 2024,"£8,778,589",,,,
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110407763,19 March 2024,"£8,600,764",,,,
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110407767,19 March 2024,"£8,549,349",,,,
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110407753,19 March 2024,"£8,393,184",,,,
TRANSPORT TRADING LTD,HEATHROW EXPRESS ,JFT Suspense  - TTL,1004/1901701605,13 March 2024,"£8,366,414",,,,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900050070,15 March 2024,"£8,077,218",,,,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110426578,20 March 2024,"£7,970,847",,,,
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900050086,15 March 2024,"£7,359,529",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900050073,15 March 2024,"£6,444,448",,,,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005/5110417148,22 March 2024,"£6,230,623",,,,
RAIL FOR LONDON LIMITED,London Rail Leasing Limited,Vehicle Operating Leases,1020/5110429150,28 March 2024,"£5,907,896",,,,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110426574,20 March 2024,"£5,852,541",,,,
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004/1901701610,15 March 2024,"£5,848,478",,,,
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001/5110410474,20 March 2024,"£5,654,343",,,,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900050153,28 March 2024,"£5,378,424",,,,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900050085,15 March 2024,"£4,889,785",,,,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900050071,15 March 2024,"£4,883,369",,,,
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900050083,15 March 2024,"£4,688,871",,,,
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900050074,15 March 2024,"£4,687,885",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900050141,28 March 2024,"£4,543,457",,,,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900050148,28 March 2024,"£4,510,294",,,,
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,Track General Maintenance,1005/5110429778,27 March 2024,"£4,313,636",,,,
DOCKLANDS LIGHT RAILWAY,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1012/5110418787,20 March 2024,"£4,194,667",,,,
