Body Name,Body Id,Month,Date,Department,Beneficiary,Purpose,Merchant Category, Amounts 
THURROCK BC,E1502X,Jan-23,27/10/2022,Adults; Housing and Health,Essex County Council,Supplies and Services,Project Work," 209,355.10 "
THURROCK BC,E1502X,Jan-23,18/01/2023,Adults; Housing and Health,Essex County Council,Employees Costs,Superannuation," 11,739.74 "
THURROCK BC,E1502X,Jan-23,03/08/2022,Adults; Housing and Health,Essex County Council,Supplies and Services,Project Work, -   
THURROCK BC,E1502X,Jan-23,22/08/2022,Adults; Housing and Health,Redacted,Third Party Payments,Additional Expenditure, 7.24 
THURROCK BC,E1502X,Jan-23,30/09/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 14.85 
THURROCK BC,E1502X,Jan-23,26/09/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 7.56 
THURROCK BC,E1502X,Jan-23,12/09/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 166.56 
THURROCK BC,E1502X,Jan-23,14/09/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 13.50 
THURROCK BC,E1502X,Jan-23,01/10/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 63.00 
THURROCK BC,E1502X,Jan-23,17/10/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 6.50 
THURROCK BC,E1502X,Jan-23,27/10/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 34.20 
THURROCK BC,E1502X,Jan-23,31/10/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 232.54 
THURROCK BC,E1502X,Jan-23,28/10/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 0.90 
THURROCK BC,E1502X,Jan-23,15/10/2022,Adults; Housing and Health,Redacted,Third Party Payments,Residential Homes Independent Sector," 8,207.50 "
THURROCK BC,E1502X,Jan-23,01/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 206.10 
THURROCK BC,E1502X,Jan-23,18/11/2022,Adults; Housing and Health,Redacted,Third Party Payments,Additional Expenditure, 30.00 
THURROCK BC,E1502X,Jan-23,18/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 118.64 
THURROCK BC,E1502X,Jan-23,15/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 59.85 
THURROCK BC,E1502X,Jan-23,24/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 38.25 
THURROCK BC,E1502X,Jan-23,23/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 101.34 
