Body Name,Body Id,Month,Source,Date,Department,Beneficiary,Purpose,Merchant Category, Amounts 
THURROCK BC,E1502X,Sep-24,Purchase Invoices,31/07/2024,Adult Social Care & Health,Essex County Council,Third Party Payments,Residential Homes Independent Sector,"9,425.68"
THURROCK BC,E1502X,Sep-24,Purchase Invoices,12/09/2024,Adult Social Care & Health,Essex County Council,Third Party Payments,Residential Homes Independent Sector,"14,430.08"
THURROCK BC,E1502X,Sep-24,Purchase Invoices,01/07/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,390.15
THURROCK BC,E1502X,Sep-24,Purchase Invoices,01/06/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,153.45
THURROCK BC,E1502X,Sep-24,Purchase Invoices,23/08/2023,Adult Social Care & Health,Redacted,Third Party Payments,Additional Expenditure,125.57
THURROCK BC,E1502X,Sep-24,Purchase Invoices,23/08/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,"1,001.25"
THURROCK BC,E1502X,Sep-24,Purchase Invoices,12/07/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,55.8
THURROCK BC,E1502X,Sep-24,Purchase Invoices,29/07/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,12.24
THURROCK BC,E1502X,Sep-24,Purchase Invoices,30/07/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,151.8
THURROCK BC,E1502X,Sep-24,Purchase Invoices,31/07/2024,Adult Social Care & Health,Redacted,Third Party Payments,Additional Expenditure,20.68
THURROCK BC,E1502X,Sep-24,Purchase Invoices,31/07/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,481.15
THURROCK BC,E1502X,Sep-24,Purchase Invoices,26/07/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,85.64
THURROCK BC,E1502X,Sep-24,Purchase Invoices,26/06/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,10.41
THURROCK BC,E1502X,Sep-24,Purchase Invoices,27/06/2024,Adult Social Care & Health,Redacted,Third Party Payments,Additional Expenditure,81.72
THURROCK BC,E1502X,Sep-24,Purchase Invoices,27/06/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,258.68
THURROCK BC,E1502X,Sep-24,Purchase Invoices,28/06/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,83.75
THURROCK BC,E1502X,Sep-24,Purchase Invoices,14/06/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,42.82
THURROCK BC,E1502X,Sep-24,Purchase Invoices,17/06/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,5.58
THURROCK BC,E1502X,Sep-24,Purchase Invoices,31/05/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,173.7
THURROCK BC,E1502X,Sep-24,Purchase Invoices,02/07/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Fuel and Oil,36.32
THURROCK BC,E1502X,Sep-24,Purchase Invoices,08/05/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,14.35
THURROCK BC,E1502X,Sep-24,Purchase Invoices,29/06/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,107.55
THURROCK BC,E1502X,Sep-24,Purchase Invoices,31/08/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,81
THURROCK BC,E1502X,Sep-24,Purchase Invoices,01/04/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,146.25
THURROCK BC,E1502X,Sep-24,Purchase Invoices,23/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,73.58
THURROCK BC,E1502X,Sep-24,Purchase Invoices,04/04/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,111.15
THURROCK BC,E1502X,Sep-24,Purchase Invoices,01/08/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,553.05
THURROCK BC,E1502X,Sep-24,Purchase Invoices,05/08/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,121.5
THURROCK BC,E1502X,Sep-24,Purchase Invoices,27/08/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,108.54
