Body Name,Body Id,Month,Date,Department,Beneficiary,Purpose,Merchant Category, Amounts 
THURROCK BC,E1502X,Aug-23,23/05/2023,Adults; Housing and Health,Essex County Council,Supplies and Services,Project Work,"-192,986.58 "
THURROCK BC,E1502X,Aug-23,23/05/2023,Adults; Housing and Health,Essex County Council,Third Party Payments,Recharges from Other Local Authorities," 192,986.58 "
THURROCK BC,E1502X,Aug-23,31/07/2023,Adults; Housing and Health,Essex County Council,Third Party Payments,Residential Homes Independent Sector," 9,425.68 "
THURROCK BC,E1502X,Aug-23,21/04/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 42.80 
THURROCK BC,E1502X,Aug-23,28/04/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 8.24 
THURROCK BC,E1502X,Aug-23,30/04/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 33.75 
THURROCK BC,E1502X,Aug-23,24/04/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 42.66 
THURROCK BC,E1502X,Aug-23,19/05/2023,Adults; Housing and Health,Redacted,Third Party Payments,Additional Expenditure, 8.60 
THURROCK BC,E1502X,Aug-23,19/05/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 125.10 
THURROCK BC,E1502X,Aug-23,16/06/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 66.68 
THURROCK BC,E1502X,Aug-23,21/05/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 33.30 
THURROCK BC,E1502X,Aug-23,31/05/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 388.37 
THURROCK BC,E1502X,Aug-23,01/06/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 293.85 
THURROCK BC,E1502X,Aug-23,23/06/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 179.15 
THURROCK BC,E1502X,Aug-23,20/06/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 54.15 
THURROCK BC,E1502X,Aug-23,26/06/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 8.10 
THURROCK BC,E1502X,Aug-23,27/06/2023,Adults; Housing and Health,Redacted,Supplies and Services,Subsistence Allowance Staff, 40.00 
