Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,11/10/2023,5833916,750,42 Bedford Row
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,11/10/2023,5833922,750,42 Bedford Row
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,13/10/2023,5834832,"1,150.00",42 Bedford Row
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,13/10/2023,5835063,540,42 Bedford Row
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,04/10/2023,5822155,376,All Seasons Foods
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,06/10/2023,5832348,"2,000.00",Angelus Law
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,20/10/2023,5836561,"2,010.00",Angelus Law
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,13/10/2023,5824516,"8,646.58",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,02/10/2023,5830339,"3,700.00",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,04/10/2023,5831359,"11,700.00",Antony Hodari Holdings Limited
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,11/10/2023,5832812,"6,025.00",APASENTH
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,04/10/2023,5831361,"3,500.00",Bamber & Co Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,20/10/2023,5836535,"7,325.00",Barnes Solicitors LLP (Office Account)
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Our East End						",Printing - External,13/10/2023,5826005,"13,388.72",Beta Distribution (South) Ltd t/a London Letterbox Marketing
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,13/10/2023,5814518,"-1,547.66",Beta Distribution (South) Ltd t/a London Letterbox Marketing
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,11/10/2023,5833914,"1,000.00",Bond Turner Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,25/10/2023,5837783,"1,000.00",Bond Turner Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,27/10/2023,5836601,375,C7 Surveyors
Chief Executive�s Office,Planning Services,Community Development,SIT - Strategy and Improvement,Subscriptions - Subscriptions to Associations,13/10/2023,5834990,"3,300.00",CACI LTD
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Legal Services SMT and PMT		",Services - Professional Fees - Legal Fees/Expenses,25/10/2023,5837782,760,CEL Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,02/10/2023,5824494,250,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,02/10/2023,5824496,300,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,04/10/2023,5831374,300,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,11/10/2023,5833918,285,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,11/10/2023,5833920,350,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,20/10/2023,5836597,337.5,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,20/10/2023,5836796,725,Cerberus Law Limited
