Body,Body name,Date,Transaction number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Registration Number,Expense Area,Expense Type,Expense Code,BVACOP,ProClass,ProClass Description,Extended Description,Profit Centre
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,06/12/2023,5100454048,53749475,886.08,ADT Fire & Security PLC,3007,GB413633086,Sanyu Daycare,EXT ALARMS/SEC,200015,,192200,FACILITIES MGT : Security,Sanyu British Telecom & Fire Alarm 23-24,130570
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,01/12/2023,5100454070,1085605331,"1,251.65",Stannah Lift Services Ltd,3008,GB236778328,Capital Schemes,A&M PAY TO CONTRACTO,400400,,321311,SOCIAL CARE : Equipment,Redacted,990000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,08/12/2023,5100454262,1085606902,"6,277.00",Stannah Lift Services Ltd,3008,GB236778328,Capital Schemes,A&M PAY TO CONTRACTO,400400,,321311,SOCIAL CARE : Equipment,Redacted,990000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,15/12/2023,5100454806,1085609620,"6,219.00",Stannah Lift Services Ltd,3008,GB236778328,Capital Schemes,A&M PAY TO CONTRACTO,400400,,321311,SOCIAL CARE : Equipment,Redacted,990000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,5100455552,1085614073,"3,738.00",Stannah Lift Services Ltd,3008,GB236778328,Capital Schemes,A&M PAY TO CONTRACTO,400400,,321311,SOCIAL CARE : Equipment,Fast Track 18511,990000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,5100455594,1085611159,"6,397.00",Stannah Lift Services Ltd,3008,GB236778328,Capital Schemes,A&M PAY TO CONTRACTO,400400,,321311,SOCIAL CARE : Equipment,Fast track 18510,990000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,5100455595,1085612773,"2,647.00",Stannah Lift Services Ltd,3008,GB236778328,Capital Schemes,A&M PAY TO CONTRACTO,400400,,321311,SOCIAL CARE : Equipment,Fast Track Straight stairlift 18518,990000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,5100455809,1085614643,"8,029.00",Stannah Lift Services Ltd,3008,GB236778328,Capital Schemes,A&M PAY TO CONTRACTO,400400,,321311,SOCIAL CARE : Equipment,Redacted,990000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,5100455814,1085614917,"3,714.00",Stannah Lift Services Ltd,3008,GB236778328,Capital Schemes,A&M PAY TO CONTRACTO,400400,,321311,SOCIAL CARE : Equipment,Redacted,990000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,5100455841,1085615017,"6,277.00",Stannah Lift Services Ltd,3008,GB236778328,Capital Schemes,A&M PAY TO CONTRACTO,400400,,321311,SOCIAL CARE : Equipment,Fast Track 18506,990000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,07/12/2023,5100455168,979900144,-364.00,Tunstall Healthcare (Uk) Ltd,3036,GB182879709,ASCOT HOUSE (MFT),MEDICAL REQUISITES,220076,,311000,MEDICAL : Consumables,61005/30 Universal Sensor 869mhz,154013
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,07/12/2023,5100455603,970002449,364.00,Tunstall Healthcare (Uk) Ltd,3036,GB182879709,ASCOT HOUSE (MFT),MEDICAL REQUISITES,220076,,311000,MEDICAL : Consumables,61005/30 Universal Sensor 869mhz,154013
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,07/12/2023,5100455603,970002449,5.95,Tunstall Healthcare (Uk) Ltd,3036,GB182879709,ASCOT HOUSE (MFT),MEDICAL REQUISITES,220076,,311000,MEDICAL : Consumables,Redacted,154013
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,5100455165,970002450,686.40,Tunstall Healthcare (Uk) Ltd,3036,GB182879709,ASCOT HOUSE (MFT),MEDICAL REQUISITES,220076,,311000,MEDICAL : Consumables,FG/D4106010A Censor Pads Chairs,154013
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,06/12/2023,5100454802,7420,"5,158.84",MAC Roofing & Contracting Ltd,3077,GB166207763,Capital Schemes,A&M PAY TO CONTRACTO,400400,,391110,CONSTRUCTION: Bld Construction,Redacted,990000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,5100455419,10325195,"39,892.08",Kier Construction Ltd,3203,GB166099927,Capital Schemes,A&M PAY TO CONTRACTO,400400,,391110,CONSTRUCTION: Bld Construction,Partington Leisure Village - PCSA,990000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,5100455422,10325196,"28,053.00",Kier Construction Ltd,3203,GB166099927,Capital Schemes,A&M PAY TO CONTRACTO,400400,,391110,CONSTRUCTION: Bld Construction,Stretford LC RIBA3,990000
