UID,Council,Contract Status,Name,Classification,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date,Annual Contract Value (average),Value,Supplier Name,Company Registration Number,Postal Code,Supplier Type,Customer Name
3980, Trafford Borough Council,Live (On-going),Zinio / eMagazines,271440 - Information Communication Technology - Software,Call Off (External), Contract,01/04/2018,31/03/2023,-,"�2,000.00","�10,000.00",W.F.Howe,3662159,LE7 4YH,-,"Trafford Borough Council, TRAFF - Governance and Community Strategy"
4614, Trafford Borough Council,Live (On-going),"Voluntary, Community and Social Enterprise (VCSE) Infrastructure Support Service",321100 - Social Community Care Supplies & Services - Children,OJEU Tender (Light Touch), Contract,01/04/2019,31/03/2024,-,"�89,980.00","�449,900.00",Pulse Regeneration,-,x,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
6454, Trafford Borough Council,Live (On-going),Virtual School Attendance and Attainment Management System,270000 - Information Communication Technology,RBS - Low/Med - Simple (RFQ), Contract,01/08/2019,31/07/2021,-,"�16,731.00","�30,000.00",Contact Group Ltd,13443112,PL3 5AE,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
8683, Trafford Borough Council,Live (On-going),User Adoption Partner for Microsoft 365 Programme,270000 - Information Communication Technology,RBS - Low/Med - Simple (RFQ), Contract,12/10/2020,30/06/2023,-,�0.00,"�78,000.00",Changing Social Ltd,10245522,N1 7LQ,-,"Trafford Borough Council, TRAFF - Finance and Systems"
970, Trafford Borough Council,Live (On-going),"Transformation, Operation & Management of Altrincham Market",180000 - Environmental Services,RBS - Low - Quick Quote, Contract,20/08/2013,19/08/2023,-,�0.00,�0.00,Market Operations,-,x,-,"Trafford Borough Council, TRAFF - Place"
10000, Trafford Borough Council,Live (On-going),Trafford Youth Cabinet,321100 - Social Community Care Supplies & Services - Children,RBS - Low/Med - Simple (RFQ), Contract,01/01/2020,31/12/2023,-,"�54,904.00","�62,624.00",Gorse Hill Studios Creative Community,9646545,M32 0PS,-,"Trafford Borough Council, TRAFF - Children's Services"
8760, Trafford Borough Council,Live (On-going),Trafford Gazetteer Data for Adults & Children�s Services,270000 - Information Communication Technology,Call Off (External), Call-off Contract,01/01/2021,31/03/2026,-,"�2,720.00","�27,880.00",Liquidlogic Ltd,-,LS25 1NB,-,"Trafford Borough Council, TRAFF - Children's Services, TRAFF - Strategy and Resources"
8562, Trafford Borough Council,Live (On-going),Trafford Collaborative Accreditation Review,150000 - Consultancy,Exemption, Contract,14/05/2020,14/05/2023,-,"�10,000.00","�30,000.00",Milford Research & Consultancy Limited,-,x,-,"Trafford Borough Council, TRAFF - Finance and Systems"
4033, Trafford Borough Council,Live (On-going),Trafford Car Salary Sacrifice Scheme,381600 - Vehicle Management - Leasing,Call Off (External), Call-off Contract,17/05/2019,17/05/2021,-,"�330,500.00","�661,000.00",Northumbria Healthcare NHS Foundation Trust,-,NE27 0QJ,-,"Trafford Borough Council, TRAFF - Finance and Systems"
3237, Trafford Borough Council,Live (On-going),The Chest eProcurement Portal 2,271300 - Information Communication Technology - Services - Maintenance & Support,Call Off (External), Contract,01/09/2015,31/07/2023,-,"�2,250.00","�18,000.00",Proactis,3182974,LS22 6LE,-,"Trafford Borough Council, TRAFF - Finance and Systems"
