Organisation Name,Organisation Code,Effective Date,Cost Centre Narrative,Supplier Name,Comp. reg. no,Charity Number,Date,TransNo,Seq No,Amount,Description of Spend(T),Catman,Catman(T),Thomclas,Thomclas(T),Subcatman,Subcatman(T)
Wakefield MDC,E08000036,30.06.23,Featherstone Sports Complex,222 SPORTS LTD,07019129,N/A,13/06/2023,24973907,1,"1,200.00 ",Licences,CAT09,Culture & Sport,74910,Swimming Pool Equipment & Supplies,SUBCAT0906,Sport
Wakefield MDC,E08000036,30.06.23,Normanton Leisure centre,222 SPORTS LTD,07019129,N/A,15/06/2023,24979575,1,"1,200.00 ",Licences,CAT09,Culture & Sport,74910,Swimming Pool Equipment & Supplies,SUBCAT0906,Sport
Wakefield MDC,E08000036,30.06.23,Domestic Refuse Collection,A & C WEBER UK LTD,07192848,N/A,21/06/2023,24974292,1,"15,575.20 ",Refuse Receptacles,CAT03,Environment,21760,Container Mnfrs,SUBCAT0314,Waste - Plastic Products
Wakefield MDC,E08000036,30.06.23,Domestic Refuse Collection,A & C WEBER UK LTD,07192848,N/A,22/06/2023,24984064,0,"1,378.40 ",Refuse Receptacles,CAT03,Environment,21760,Container Mnfrs,SUBCAT0314,Waste - Plastic Products
Wakefield MDC,E08000036,30.06.23,Language Service,AA GLOBAL LANGUAGE SERVICES LTD,04299764,N/A,10/05/2023,24953569,1,"2,205.50 ",Interpreters Fees,CAT02,Business Services,80090,Translators & Interpreters,SUBCAT0224,Translation
Wakefield MDC,E08000036,30.06.23,Language Service,AA GLOBAL LANGUAGE SERVICES LTD,04299764,N/A,08/06/2023,24973160,1,"2,826.50 ",Interpreters Fees,CAT02,Business Services,80090,Translators & Interpreters,SUBCAT0224,Translation
Wakefield MDC,E08000036,30.06.23,Ext 2yr Old Offer,ABACUS NURSERY,N/A,N/A,05/05/2023,24951181,0,"2,140.81 ",Nursery Education Funding - External (Private Contractors),CAT05,Children and Young People,53088,Nurseries & Creches,SUBCAT0509,"Childcare & Early Years 2,3,4 Years Old Offer"
Wakefield MDC,E08000036,30.06.23,Nursery Funding 3 & 4 Year Olds,ABACUS NURSERY,N/A,N/A,14/04/2023,24937275,0,"51,814.33 ",Nursery Education Funding - External (Private Contractors),CAT05,Children and Young People,53088,Nurseries & Creches,SUBCAT0509,"Childcare & Early Years 2,3,4 Years Old Offer"
Wakefield MDC,E08000036,30.06.23,PCB Capital Transactions,ABBEYDALE BEC LTD,06707508,N/A,23/05/2023,24961840,1,"9,660.00 ",Sub Contractors PCB,CAT08,Professional Services,32415,Environmental Consultants,SUBCAT0802,Consultancy
Wakefield MDC,E08000036,30.06.23,The Croft Recovery Childrens Home-Ackworth,ABILITY SMART LIMITED,10875477,N/A,23/05/2023,24961537,1,"1,470.00 ",Training Expenses,CAT02,Business Services,79960,Training Consultants,SUBCAT0223,Training
Wakefield MDC,E08000036,30.06.23,Adults Connecting Care - East,ACADEMY CARE LTD,11265960,N/A,13/06/2023,24973800,1,"2,720.56 ",External Provider SPOT RATE Homecare (Private Contractors),CAT04,Adult Services,43419,Home Care Services,SUBCAT0402,Specialist Homecare and Other Services
