Organisation Name,Organisation Code,Unique Ref No ,Effective Date,Directorate,Supplier Name ,Payment Date,Net amount,Purpose of Spend,"Procurement Classification
(Higher Level)","Procurement Classification 
(Lower Level)",CAPITAL / REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-1,29.02.2024,CHILDRENS,100GREEN - GREEN ENERGY (UK) PLC,22/02/2024,"12,012.20",6222-Electricity,PREMISES,ENERGY,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-2,29.02.2024,CHILDRENS,100GREEN - GREEN ENERGY (UK) PLC,22/02/2024,261.44,6222-Electricity,PREMISES,ENERGY,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-3,29.02.2024,CHILDRENS,100GREEN - GREEN ENERGY (UK) PLC,22/02/2024,294.00,6222-Electricity,PREMISES,ENERGY,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-4,29.02.2024,CHILDRENS,100GREEN - GREEN ENERGY (UK) PLC,22/02/2024,317.08,6222-Electricity,PREMISES,ENERGY,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-5,29.02.2024,CHILDRENS,100GREEN - GREEN ENERGY (UK) PLC,22/02/2024,363.32,6222-Electricity,PREMISES,ENERGY,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-6,29.02.2024,CHILDRENS,100GREEN - GREEN ENERGY (UK) PLC,22/02/2024,355.13,6222-Electricity,PREMISES,ENERGY,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-7,29.02.2024,RESOURCES AND TRANSFORMATION,11KBW,08/02/2024,"28,293.75",6610-School Only Payments - Catering,THIRD PARTY PAYMENTS,INDEPENDENT UNIT WITHIN COUNCIL,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-8,29.02.2024,RESOURCES AND TRANSFORMATION,11KBW,22/02/2024,"5,200.00",6610-School Only Payments - Catering,THIRD PARTY PAYMENTS,INDEPENDENT UNIT WITHIN COUNCIL,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-9,29.02.2024,RESOURCES AND TRANSFORMATION,11KBW,06/02/2024,"4,005.00",6610-School Only Payments - Catering,THIRD PARTY PAYMENTS,INDEPENDENT UNIT WITHIN COUNCIL,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-10,29.02.2024,RESOURCES AND TRANSFORMATION,11KBW,19/02/2024,"20,480.00",6610-School Only Payments - Catering,THIRD PARTY PAYMENTS,INDEPENDENT UNIT WITHIN COUNCIL,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-11,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,15/02/2024,"1,666.87",1220-Professional Fees & Services,SUPPLIES & SERVICES,SERVICES,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-12,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,15/02/2024,260.00,1220-Professional Fees & Services,SUPPLIES & SERVICES,SERVICES,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-13,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,315.15",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-14,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,158.40",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-15,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,158.40",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-16,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,158.40",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-17,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"1,491.60",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-18,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,961.20,6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-19,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"4,080.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-20,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"1,757.50",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-21,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"1,757.50",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-22,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,158.40",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-23,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,140.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-24,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,060.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-25,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,554.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-26,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"1,757.50",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-27,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,158.40",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-28,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,114.60",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-29,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"1,797.40",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-30,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,191.60",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-31,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,532.60",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-32,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"1,780.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-33,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,877.17",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-34,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,158.40",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-35,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,400.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC159-36,29.02.2024,CHILDRENS,247 CARS (WILLENHALL) LIMITED,26/02/2024,"2,400.60",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
