Organisation Name,Organisation Code,Unique Ref No,Effective Date,Directorate,Supplier Name,Payment Date,Net amount,Purpose of Spend,"Procurement Classification 
(Higher level)","Procurement Classification
(Lower level)",CAPITAL / REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-1,31.01.24,ECONOMY & ENVIRONMENT CAPITAL,10SQUARED LTD,18/01/2024,"-1,602.00",7200-Purchase of Furniture & Equipment,CAPITAL,"VEHICLES,PLANT,EQUIPMENT & MACHINERY",CAPITAL,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-2,31.01.24,ECONOMY & ENVIRONMENT CAPITAL,10SQUARED LTD,18/01/2024,-486.50,7200-Purchase of Furniture & Equipment,CAPITAL,"VEHICLES,PLANT,EQUIPMENT & MACHINERY",CAPITAL,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-3,31.01.24,ECONOMY & ENVIRONMENT CAPITAL,10SQUARED LTD,18/01/2024,973.00,7200-Purchase of Furniture & Equipment,CAPITAL,"VEHICLES,PLANT,EQUIPMENT & MACHINERY",CAPITAL,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-4,31.01.24,ECONOMY & ENVIRONMENT CAPITAL,10SQUARED LTD,18/01/2024,"3,204.00",7200-Purchase of Furniture & Equipment,CAPITAL,"VEHICLES,PLANT,EQUIPMENT & MACHINERY",CAPITAL,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-5,31.01.24,RESOURCES AND TRANSFORMATION,11KBW,15/01/2024,"16,925.00",6610-School Only Payments - Catering,THIRD PARTY PAYMENTS,INDEPENDENT UNIT WITHIN COUNCIL,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-6,31.01.24,RESOURCES AND TRANSFORMATION,11KBW,15/01/2024,270.00,6610-School Only Payments - Catering,THIRD PARTY PAYMENTS,INDEPENDENT UNIT WITHIN COUNCIL,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-7,31.01.24,CHILDRENS,1ST STAFF LTD,26/01/2024,"4,500.00",1220-Professional Fees & Services,SUPPLIES & SERVICES,SERVICES,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-8,31.01.24,CHILDRENS,1ST STAFF LTD,30/01/2024,"2,340.00",1220-Professional Fees & Services,SUPPLIES & SERVICES,SERVICES,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-9,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/01/2024,"1,451.79",1220-Professional Fees & Services,SUPPLIES & SERVICES,SERVICES,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-10,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/01/2024,251.36,1220-Professional Fees & Services,SUPPLIES & SERVICES,SERVICES,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-11,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"1,330.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-12,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,272.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-13,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,272.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-14,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,272.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-15,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,272.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-16,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"1,600.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-17,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"1,850.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-18,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"1,850.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-19,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,885.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-20,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,602.60",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-21,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,822.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-22,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"1,130.88",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-23,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,437.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-24,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,272.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-25,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,272.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-26,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,272.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-27,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"1,342.44",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-28,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,961.20,6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-29,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,720.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-30,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,272.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-31,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,400.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC158-32,31.01.24,CHILDRENS,247 CARS (WILLENHALL) LIMITED,02/01/2024,"2,400.60",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE,,,,,
