Organisation Name,Organisation Code,Unique Ref No ,Effective Date,Directorate where expenditure incurred, Supplier Name ,Payment Date,Net amount,Purpose of Spend,"Procurement Classification
(Higher Level)","Procurement Classification
(Lower Level)",CAPITAL / REVEUNE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-1,31.07.2023,RESOURCES AND TRANSFORMATION,11KBW,10/07/2023,"-16,214.17",6610-School Only Payments - Catering,THIRD PARTY PAYMENTS,INDEPENDENT UNIT WITHIN COUNCIL,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-2,31.07.2023,RESOURCES AND TRANSFORMATION,11KBW,10/07/2023,"16,214.17",6610-School Only Payments - Catering,THIRD PARTY PAYMENTS,INDEPENDENT UNIT WITHIN COUNCIL,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-3,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"2,950.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-4,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"1,850.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-5,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"2,584.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-6,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"2,158.40",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-7,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"2,158.40",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-8,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"2,500.40",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-9,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"1,690.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-10,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"2,272.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-11,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"1,057.30",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-12,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"1,850.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-13,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"2,885.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-14,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"1,850.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-15,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"1,850.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-16,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"3,900.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-17,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"1,761.20",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-18,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"2,400.00",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
Walsall Council,http://opendatacommunities.org/id/metropolitan-district-council/walsall ,WC152-19,31.07.2023,CHILDRENS,247 CARS (WILLENHALL) LIMITED,17/07/2023,"2,500.40",6241-Hire of Vehicle with Driver,TRANSPORT,DIRECT TRANSPORT COSTS,REVENUE
