Supplier Name,Unique Reference,Invoice Amount,Invoice Date,Payment Date,Division,Service
Cornerstone Under 5's,Nov 23/1,500,22-SEP-2023,20-NOV-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Mehraj,Nov 23/2,500,01-NOV-2023,17-NOV-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Fenix Recruitment Solutions Ltd,Nov 23/3,500.64,08-AUG-2023,02-NOV-2023,B6200C-Childrens Services Directorate,B6024E-Safeguarding and Family Support 2
William White Meats Ltd,Nov 23/4,500.95,20-NOV-2023,28-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/5,501.23,06-NOV-2023,06-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/6,502.62,08-NOV-2023,08-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/7,503.19,02-NOV-2023,02-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
A.J's Beds and Furniture Ltd,Nov 23/9,504,12-SEP-2023,06-NOV-2023,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Cubiquity Limited,Nov 23/10,504,24-OCT-2023,24-NOV-2023,B2100C-Stronger Communities Directorate,B2092E-Children and Families Early Help 
Sharpe Pritchard LLP,Nov 23/8,504,31-MAY-2023,07-NOV-2023,B4000C-Resources Directorate,B4062E-Legal Services
Thomas Ridley and Son Ltd,Nov 23/11,504.25,14-NOV-2023,14-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
The Language Shop,Nov 23/12,505.38,03-NOV-2023,28-NOV-2023,B5000C-Place Directorate,B5162E-Homelessness Service
Thomas Ridley and Son Ltd,Nov 23/13,507.92,21-NOV-2023,21-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Cubiquity Limited,Nov 23/14,508,31-OCT-2023,28-NOV-2023,B7000C-Neighbourhoods and Environment Directorate,B5144E-Waste Management
Thomas Ridley and Son Ltd,Nov 23/15,509.55,21-NOV-2023,21-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Field Court Chambers,Nov 23/18,510,11-AUG-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
