DIRECTORATE,PAYMENT DATE, PAYMENT AMOUNT ,PAYEE,SUPPLIER NO,ACTIVITY
Capital Expenditure,04/04/2023," 49,587.47 ",PATMORE CO-OPERATIVE LTD,Invoice,CAPEXP Construction Work
Children's Services Directorate,04/04/2023, 695.44 ,REDACTED PERSONAL DATA,Invoice,Special Guardianship
Children's Services Directorate,04/04/2023, 598.24 ,REDACTED PERSONAL DATA,Invoice,Special Guardianship
Children's Services Directorate,04/04/2023," 1,030.00 ",REDACTED PERSONAL DATA,Invoice,Internal Fostering
Children's Services Directorate,04/04/2023, 562.64 ,REDACTED PERSONAL DATA,Invoice,Special Guardianship
Chief Executives Directorate,04/04/2023," 5,940.00 ",G2V Recruitment Group Limited,Invoice,Agency Staff
Children's Services Directorate,04/04/2023, 828.24 ,REDACTED PERSONAL DATA,Invoice,Special Guardianship
Children's Services Directorate,04/04/2023, 529.80 ,REDACTED PERSONAL DATA,Invoice,Special Guardianship
Children's Services Directorate,04/04/2023, 529.80 ,REDACTED PERSONAL DATA,Invoice,Special Guardianship
Children's Services Directorate,04/04/2023," 1,030.00 ",REDACTED PERSONAL DATA,Invoice,Internal Fostering
Children's Services Directorate,04/04/2023, 907.90 ,REDACTED PERSONAL DATA,Invoice,Staying Put
Children's Services Directorate,04/04/2023, 863.84 ,REDACTED PERSONAL DATA,Invoice,Special Guardianship
Children's Services Directorate,04/04/2023, 598.24 ,REDACTED PERSONAL DATA,Invoice,Special Guardianship
Children's Services Directorate,04/04/2023," 1,030.00 ",REDACTED PERSONAL DATA,Invoice,Internal Fostering
Children's Services Directorate,04/04/2023, 907.90 ,REDACTED PERSONAL DATA,Invoice,Staying Put
Children's Services Directorate,04/04/2023, 829.40 ,REDACTED PERSONAL DATA,Invoice,Internal Fostering
Children's Services Directorate,04/04/2023, 907.90 ,REDACTED PERSONAL DATA,Invoice,Staying Put
Children's Services Directorate,04/04/2023, 840.00 ,REDACTED PERSONAL DATA,Invoice,Staying Put
Children's Services Directorate,04/04/2023, 954.14 ,REDACTED PERSONAL DATA,Invoice,Special Guardianship
Children's Services Directorate,04/04/2023," 5,150.00 ",REDACTED PERSONAL DATA,Invoice,Internal Fostering
Children's Services Directorate,04/04/2023, 808.70 ,REDACTED PERSONAL DATA,Invoice,Special Guardianship
Children's Services Directorate,04/04/2023," 1,735.61 ",Prepaid Financial Services (E-,Invoice,Food & Consumables
Children's Services Directorate,04/04/2023, 950.20 ,REDACTED PERSONAL DATA,Invoice,Staying Put
Children's Services Directorate,04/04/2023, 562.64 ,REDACTED PERSONAL DATA,Invoice,Special Guardianship
Children's Services Directorate,04/04/2023," 1,030.00 ",REDACTED PERSONAL DATA,Invoice,Internal Fostering
Children's Services Directorate,04/04/2023," 1,030.00 ",REDACTED PERSONAL DATA,Invoice,Internal Fostering
