Body Name,Date Paid,Transaction Number,Amount,Invoice Date,Supplier Name,Supplier Type,Invoice Number,Account,Transaction Type,Transaction Type Description,Supplier Reporting,Expense Area,Cost Centre Description ,Service Area Categorisation,Service Division Categorisation,Expense Type
West Northamptonshire Council,24-May-23,51400288784,"-£84,228.30",08-Feb-23,UNIT4,TRADE SUPPLIER,2000014195,D4110,II,Incoming Invoice Posting,,Business Systems Portfolio Projects,Income Management Solution Project,"Digital, Technology & Innovation",Shared Services Business Systems & Change,Professional Fees and Hired Services
West Northamptonshire Council,26-May-23,51400307716,"-£52,106.68",02-May-23,NORTHAMPTON SCHOOLS LTD,EDUCATION,2023-37f,B0500,SPV,AP VAT Spreadsheet Import - Payments,,Northampton Schools PFI,Northampton PFI Contract - UNITARY CHARGE,Assets and Environment,A&E Works,Specialist Works and Repairs
West Northamptonshire Council,24-May-23,51400299066,"-£43,884.18",09-May-23,West Northants Norse Limited,TRADE SUPPLIER,52CR-000325,E2000,II,Incoming Invoice Posting,,Refuse and recycling [DDC],Norse Jv,Waste Service,"Refuse, Recycling & Collection [DDC]",Payments to Other Local Authorities
West Northamptonshire Council,25-May-23,51400294268,"-£26,430.34",31-Mar-23,Wicksteed Leisure Ltd,COMPANY,0000819453.CR,XB060,II,Incoming Invoice Posting,,Parks & Open Spaces [NBC],Parks / Allotments / Cemeteries  Enhancements,Assets and Environment Capital,Parks & Open Spaces [NBC],Environmental Works
West Northamptonshire Council,22-May-23,51400304966,"-£23,500.00",22-May-23,EAST HUNSBURY PRIMARY ACADEMY,EDUCATION,07MONTHLYTRANSFERSMAY23 CFR I03,E6000,SPS,AP Spreadsheet Import - Payments,,Academies [NCC],East Hunsbury Primary Academy,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,22-May-23,51400304831,"-£22,917.00",22-May-23,HEADLANDS PRIMARY SCHOOL,EDUCATION,07MONTHLYTRANSFERSMAY23 CFR I03,E6000,SPS,AP Spreadsheet Import - Payments,,Academies [NCC],Headlands Primary School,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,19-May-23,51400301819,"-£21,650.85",12-May-23,Weston Favell Retail Properties Limited Charge Account T/A Ashdown Phillips & Partners Ltd,COMPANY,SAO 150523 - reconciliation,B2010,SPV,AP VAT Spreadsheet Import - Payments,,PS&E Operational Property Running Costs,Premise Running Costs,Assets and Environment,A&E Property and Estates Management,Service Charges
West Northamptonshire Council,19-May-23,51400291440,"-£19,449.98",25-Jan-23,Weston Favell Retail Properties Limited Rent Account T/A Ashdown Phillips & Partners Ltd,COMPANY,SC Bal Cr YE 2022,B2010,SPV,AP VAT Spreadsheet Import - Payments,,PS&E Operational Property Running Costs,Premise Running Costs,Assets and Environment,A&E Property and Estates Management,Service Charges
West Northamptonshire Council,24-May-23,51400306940,"-£16,200.00",23-May-23,Admire Healthcare Limited -Apollo House,CARE ESTABLISHMENT,N1929337 P134744-00015,E7130,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Nursing Care
West Northamptonshire Council,05-May-23,51400289082,"-£14,864.20",13-Apr-23,STAGECOACH SERVICES LTD,TRADE SUPPLIER,502742,C6005,SPS,AP Spreadsheet Import - Payments,,Sustainable Travel WNC,Bus Subsidy-3rd Party Funded Contracts,Highways & Transport Service WNC,Transport Strategy & Development WNC,Support - subsidised bus routes
West Northamptonshire Council,24-May-23,51400306257,"-£13,571.43",23-May-23,PRIME LIFE LIMITED,CARE ESTABLISHMENT,WN15241 P134691-00002,E7140,CPN,Social Care West Northampton Council CareCost Payments,,PD Physical Disability RES ST [NCC],Support with Memory & Cognition Res other Short Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Rehabilitation And Respite Care
West Northamptonshire Council,24-May-23,51400305881,"-£12,301.20",22-May-23,Together for Mental Wellbeing,COMPANY,NT984466 P134469-00003,E7170,CPN,Social Care West Northampton Council CareCost Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Suppported Living
West Northamptonshire Council,22-May-23,51400305025,"-£11,678.00",22-May-23,MONKSMOOR PARK CE PRIMARY SCHOOL,EDUCATION,30MONTHLYTRANSFERSMAY23 CFR I06,E6000,SPS,AP Spreadsheet Import - Payments,,Individual Schools Budgets (DSG) [NCC],Monksmoor CE Primary School,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,22-May-23,51400305152,"-£11,000.00",22-May-23,Hunsbury Park Primary School,EDUCATION,09MONTHLYTRANSFERSMAY23 CFR I03,E6000,SPS,AP Spreadsheet Import - Payments,,Individual Schools Budgets (DSG) [NCC],Hunsbury Park Primary School,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,25-May-23,51400294273,"-£10,913.52",19-Oct-22,Wicksteed Leisure Ltd,COMPANY,0000819670.CR,XB060,II,Incoming Invoice Posting,,Parks & Open Spaces [NBC],Parks / Allotments / Cemeteries  Enhancements,Assets and Environment Capital,Parks & Open Spaces [NBC],Environmental Works
West Northamptonshire Council,19-May-23,51400301818,"-£9,899.90",09-Feb-23,Weston Favell Retail Properties Limited Rent Account T/A Ashdown Phillips & Partners Ltd,COMPANY,SC 04-22-03-23 YE Uplift reversal,B2010,SPV,AP VAT Spreadsheet Import - Payments,,PS&E Operational Property Running Costs,Premise Running Costs,Assets and Environment,A&E Property and Estates Management,Service Charges
West Northamptonshire Council,22-May-23,51400304917,"-£9,375.00",22-May-23,SIMON DE SENLIS PRIMARY ACADEMY,EDUCATION,07MONTHLYTRANSFERSMAY23 CFR I03,E6000,SPS,AP Spreadsheet Import - Payments,,Academies [NCC],Simon De Senlis Academy,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,05-May-23,51400289080,"-£9,215.03",13-Apr-23,STAGECOACH SERVICES LTD,TRADE SUPPLIER,502741,C6005,SPS,AP Spreadsheet Import - Payments,,Sustainable Travel WNC,Bus Subsidy-3rd Party Funded Contracts,Highways & Transport Service WNC,Transport Strategy & Development WNC,Support - subsidised bus routes
West Northamptonshire Council,19-May-23,51400300642,"-£8,316.00",17-May-23,THE CARE BUREAU,CARE ESTABLISHMENT,N1144221 P134193-00022,E7150,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People CCP LT [NCC],Physical Support CCP Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,26-May-23,51400307724,"-£7,920.90",03-Apr-23,NORTHAMPTON SCHOOLS LTD,EDUCATION,2023-28a,B2005,SPV,AP VAT Spreadsheet Import - Payments,,Northampton Schools PFI,Northampton PFI Contract - LETTINGS,Assets and Environment,A&E Works,Casual hire of facilities
West Northamptonshire Council,26-May-23,51400307725,"-£7,920.90",03-Apr-23,NORTHAMPTON SCHOOLS LTD,EDUCATION,2023-28b,B2005,SPV,AP VAT Spreadsheet Import - Payments,,Northampton Schools PFI,Northampton PFI Contract - LETTINGS,Assets and Environment,A&E Works,Casual hire of facilities
West Northamptonshire Council,12-May-23,51400299348,"-£7,857.14",11-May-23,B & M CARE  (Templemore),CARE ESTABLISHMENT,N2210753 P134140-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,22-May-23,51400305210,"-£7,750.00",22-May-23,GLOUCESTER NURSERY SCHOOL,NURSERY,35MONTHLYTRANSFERSMAY23 CFR I01,E6000,SPS,AP Spreadsheet Import - Payments,,Individual Schools Budgets (DSG) [NCC],Gloucester Nursery Sch,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,22-May-23,51400305207,"-£7,750.00",22-May-23,WALLACE ROAD NURSERY,NURSERY,35MONTHLYTRANSFERSMAY23 CFR I01,E6000,SPS,AP Spreadsheet Import - Payments,,Individual Schools Budgets (DSG) [NCC],Wallace Road Nursery Sch,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,22-May-23,51400305198,"-£7,750.00",22-May-23,CAMROSE SURESTART CHILDRENS CENTRE,CARE ESTABLISHMENT,35MONTHLYTRANSFERSMAY23 CFR I01,E6000,SPS,AP Spreadsheet Import - Payments,,Individual Schools Budgets (DSG) [NCC],Camrose Centre,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,22-May-23,51400305204,"-£7,750.00",22-May-23,WHITEHILLS NURSERY SCHOOL,NURSERY,35MONTHLYTRANSFERSMAY23 CFR I01,E6000,SPS,AP Spreadsheet Import - Payments,,Individual Schools Budgets (DSG) [NCC],Whitehills Nursery Sch,Schools Block,Schools Block [NCC],Payments to Other Establishments
