Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Voids maintenance - HRA,Void repairs,29-Jun-23,200060460,Hughes Brothers,"14,821.37"
Barrow Borough Council,Voids maintenance - HRA,Void repairs,14-Jun-23,200060190,Hughes Brothers,"3,328.47"
Barrow Borough Council,Voids maintenance - HRA,Void repairs,08-Jun-23,200060093,Hughes Brothers,"12,264.45"
Barrow Borough Council,Tenant demand maintenance - HRA,Disrepair,01-Jun-23,200059990,Progression Solicitors,"5,691.60"
Barrow Borough Council,Tenant demand maintenance - HRA,Routine Maintenance,08-Jun-23,200060064,Cumbria Roofing Ulverston,"6,435.30"
Barrow Borough Council,Major works maintenance - HRA,Adaptations,22-Jun-23,200060245,Procare Shower & Bathroom Centre Ltd,659.59
Barrow Borough Council,Barrow BID,Professional fees,22-Jun-23,200060315,Liberata Uk Ltd,"2,416.88"
Barrow Borough Council,Information technology,Data Line Rental,29-Jun-23,200060358,Britannic Technologies Ltd,"-3,011.03"
Barrow Borough Council,Customer services,Agency staff,01-Jun-23,200060003,James Andrews Recruitment Solutions,598.19
Barrow Borough Council,Tenant demand maintenance - HRA,Routine Maintenance,01-Jun-23,200060026,Cumbria Roofing Ulverston,"3,829.00"
Barrow Borough Council,Forum 28,Building cleaning,29-Jun-23,200060465,Elior UK Ltd,"3,031.90"
Barrow Borough Council,Street cleansing,Vehicle Repairs,14-Jun-23,200060163,Dawson Group,"6,784.07"
Barrow Borough Council,Disabled Facilities Grant,Grants,14-Jun-23,200060191,Dolphin Stairlifts Cumbria,"4,800.00"
Barrow Borough Council,Forum catering,Catering contract - Forum,14-Jun-23,200060194,Elior UK Ltd,"2,820.08"
Barrow Borough Council,The Academy,Recoverable charges,29-Jun-23,200060365,Cast Theatre Company,-755.06
Barrow Borough Council,Conducting elections,Postage,29-Jun-23,200060362,Democracy Counts Ltd,"5,314.40"
