OrganisationNameLabel,OrganisationURI,EffectiveDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,SupplierRegisteredCompany Number,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfSpend,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management People,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,SHELTER,,29/03/2023,188743,80,0,Welfare Benefits Training,201700,Financial Services Grants
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Support Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Inspira Cumbria Ltd,,04/04/2023,189008,972,0,Lunches re pre-employment courses,291400,Arts & Leisure Services Sport & Fitness
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management Account Mgmt,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,ROYAL MAIL GROUP PLC,,04/04/2023,189043,1138.61,0,2022-23 Royal Mail Postal Charges a/c,301200,Mail Services  Postage
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Human Resources,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Choose Occupational Health,7365943,04/04/2023,189048,221.25,0,6x Physio Session MH,191800,Facilities Public Relations & Image
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Human Resources,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Choose Occupational Health,7365943,04/04/2023,189048,361.25,0,6x Physio Session MH,191800,Facilities Public Relations & Image
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Human Resources,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Choose Occupational Health,7365943,04/04/2023,189048,455,0,6x Physio Session MH,191800,Facilities Public Relations & Image
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management Regulatory,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Macdonald & Company Freelance Ltd,3882135,04/04/2023,189049,1700.5,0,Contract Worker,261400,HR Temporary & Agency Staff
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management People,Culture and Related Serv,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,STEELWAY FENSECURE LTD,3872973,04/04/2023,189050,1519.38,0,Supply 2 x self closing premier gates.,101200,Building Construction Materials- Fencing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Case Management People,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,STEELWAY FENSECURE LTD,3872973,04/04/2023,189051,4370.56,0,6 x 1.2m high Premier Safe Sprung Self,101200,Building Construction Materials- Fencing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/05/2023,Delivery Commercial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Kinto Uk Limited,837940,04/04/2023,189052,501.77,0,Hire 2 x vans maintenance 2022-23,381000,Vehicle Mgt Commercial
