Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,Supplier,SupplierRegisteredCompanyNumber,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfExpenditureNarrative,Procurement(Merchant)Category,ProClass,ProClass 
Bank Charges,Central Services,National Westminister Bank PLC (CHAPS),,01-08-2023,0000191011,254.48,0.00,Commission,201200,Financial Services Banking,
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-08-2023,0000191024,"4,332.97",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-08-2023,0000191024,722.81,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-08-2023,0000191024,"16,119.16",0.00,Fuel,381600,Vehicle Mgt Leasing,
Finance,Central Services,Bottomline Technologies Ltd (NCR),03693514,01-08-2023,0000191045,761.25,0.00,Software Maintenance,271440,ICT Software,
Bank Charges,Central Services,ALLPAY.NET LTD (NCR),6871069,01-08-2023,0000191050,633.22,0.00,Commission,209999,Financial Services Not Elsewhere Classif,
Bank Charges,Central Services,ALLPAY.NET LTD (NCR),6871069,01-08-2023,0000191061,490.44,0.00,Commission,209999,Financial Services Not Elsewhere Classif,
Bank Charges,Central Services,ALLPAY.NET LTD (NCR),6871069,01-08-2023,0000191065,539.45,0.00,Commission,209999,Financial Services Not Elsewhere Classif,
Bank Charges,Central Services,ALLPAY.NET LTD (NCR),6871069,01-08-2023,0000191071,557.41,0.00,Commission,209999,Financial Services Not Elsewhere Classif,
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-08-2023,0000191076,"4,839.87",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-08-2023,0000191076,778.31,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-08-2023,0000191076,"19,851.76",0.00,Fuel,381600,Vehicle Mgt Leasing,
Bank Charges,Central Services,National Westminister Bank PLC (CHAPS),,01-08-2023,0000191083,253.36,0.00,Commission,201200,Financial Services Banking,
Bank Charges,Central Services,ACCESS PAYSUITE LTD,,01-08-2023,0000191084,"10,460.72",0.00,Commission,261500,HR Training & Conferences,
Bank Charges,Central Services,National Westminister Bank PLC (CHAPS),,01-08-2023,0000191085,250.33,0.00,Commission,201200,Financial Services Banking,
Finance,Central Services,Bottomline Technologies Ltd (NCR),03693514,01-08-2023,0000191090,"6,851.25",0.00,Software Maintenance,271440,ICT Software,
Finance,Central Services,Bottomline Technologies Ltd (NCR),03693514,01-08-2023,0000191091,761.25,0.00,Software Maintenance,271440,ICT Software,
Human Resources,Central Services,HMRC (CHAPS),,10-08-2023,0000191094,"3,483.00",0.00,Apprentice levy,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,10-08-2023,0000191094,"100,180.56",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,10-08-2023,0000191094,"150,584.05",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,10-08-2023,0000191094,"2,895.00",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Human Resources,Central Services,HMRC (CHAPS),,10-08-2023,0000191096,"3,304.00",0.00,Apprentice levy,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,10-08-2023,0000191096,"148,530.71",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,10-08-2023,0000191096,"162,341.09",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,10-08-2023,0000191096,"2,900.00",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,10-08-2023,0000191097,"154,582.25",0.00,General,908000,Public Bodies Council support services,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,10-08-2023,0000191097,"55,913.53",0.00,General,908000,Public Bodies Council support services,
