Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,Supplier,SupplierRegisteredCompanyNumber,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfExpenditureNarrative,Procurement(Merchant)Category,ProClass,ProClass 
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-02-2024,0000191241,"9,685.93",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-02-2024,0000191241,323.86,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-02-2024,0000191241,"10,491.54",0.00,Fuel,381600,Vehicle Mgt Leasing,
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-02-2024,0000191256,"3,991.98",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-02-2024,0000191256,346.49,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-02-2024,0000191256,"16,807.12",0.00,Fuel,381600,Vehicle Mgt Leasing,
Bank Charges,Central Services,ALLPAY.NET LTD (NCR),6871069,01-02-2024,0000191259,386.65,0.00,Commission,209999,Financial Services Not Elsewhere Classif,
Information Services,Central Services,EE UK LTD (NCR),,01-02-2024,0000191264,354.37,0.00,Mobile Phones,351000,Street & Traffic Parking Car Parks,
Information Services,Central Services,EE UK LTD (NCR),,01-02-2024,0000191265,354.37,0.00,Mobile Phones,351000,Street & Traffic Parking Car Parks,
Car Parks,Highways & Transport Services,ACCESS PAYSUITE LTD,,01-02-2024,0000191267,889.85,0.00,Credit Card Commission,261500,HR Training & Conferences,
Bank Charges,Central Services,ACCESS PAYSUITE LTD,,01-02-2024,0000191267,"4,018.23",0.00,Commission,261500,HR Training & Conferences,
Bank Charges,Central Services,National Westminister Bank PLC (CHAPS),,01-02-2024,0000191268,250.02,0.00,Commission,201200,Financial Services Banking,
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-03-2024,0000191269,"4,694.82",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-03-2024,0000191269,430.03,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-03-2024,0000191269,"15,332.86",0.00,Fuel,381600,Vehicle Mgt Leasing,
Car Parks,Highways & Transport Services,ACCESS PAYSUITE LTD,,01-02-2024,0000191271,"2,490.39",0.00,Credit Card Commission,261500,HR Training & Conferences,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-02-2024,0000191275,"150,701.14",0.00,General,908000,Public Bodies Council support services,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-02-2024,0000191275,"54,601.18",0.00,General,908000,Public Bodies Council support services,
Human Resources,Central Services,HMRC (CHAPS),,01-02-2024,0000191276,"3,121.00",0.00,Apprentice levy,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-02-2024,0000191276,"94,367.54",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-02-2024,0000191276,"133,789.91",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-02-2024,0000191276,"3,002.00",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Debtors,Non-Service Payments,National Westminister Bank PLC (CHAPS),,01-02-2024,0000191277,287.73,0.00,Refunds,201200,Financial Services Banking,
Car Parks,Highways & Transport Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-02-2024,0000191278,291.53,0.00,Fuel,381600,Vehicle Mgt Leasing,
Car Parks,Highways & Transport Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-02-2024,0000191279,283.28,0.00,Fuel,381600,Vehicle Mgt Leasing,
Support Services,Central Services,MIDLAND SOFTWARE LTD,01852206,01-02-2024,0000191281,"1,128.00",0.00,Software Maintenance,271600,ICT Software Customised & Bespoke,
