Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,Supplier,SupplierRegisteredCompanyNumber,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfExpenditureNarrative,Procurement(Merchant)Category,ProClass,ProClass 
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-01-2024,0000191204,"3,892.40",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-01-2024,0000191204,258.64,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-01-2024,0000191204,"18,275.11",0.00,Fuel,381600,Vehicle Mgt Leasing,
Bank Charges,Central Services,ALLPAY.NET LTD (NCR),6871069,01-01-2024,0000191229,545.88,0.00,Commission,209999,Financial Services Not Elsewhere Classif,
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-01-2024,0000191232,"23,116.92",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-01-2024,0000191232,277.81,0.00,Fuel,381600,Vehicle Mgt Leasing,
Rent Allowances,Housing Benefit Payments,National Westminister Bank PLC (CHAPS),,01-01-2024,0000191233,360.00,0.00,Rent Allowance Payments,201200,Financial Services Banking,
Car Parks,Highways & Transport Services,ACCESS PAYSUITE LTD,,01-01-2024,0000191235,822.29,0.00,Credit Card Commission,261500,HR Training & Conferences,
Bank Charges,Central Services,ACCESS PAYSUITE LTD,,01-01-2024,0000191235,"3,145.71",0.00,Commission,261500,HR Training & Conferences,
Support Services,Central Services,MIDLAND SOFTWARE LTD,01852206,01-01-2024,0000191243,"5,372.15",0.00,Software Maintenance,271600,ICT Software Customised & Bespoke,
Support Services,Central Services,MIDLAND SOFTWARE LTD,01852206,01-01-2024,0000191244,"2,028.00",0.00,Software Maintenance,271600,ICT Software Customised & Bespoke,
Support Services,Central Services,MIDLAND SOFTWARE LTD,01852206,01-01-2024,0000191245,"5,130.00",0.00,Software Maintenance,271600,ICT Software Customised & Bespoke,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-01-2024,0000191247,"150,472.14",0.00,General,908000,Public Bodies Council support services,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-01-2024,0000191247,"54,528.82",0.00,General,908000,Public Bodies Council support services,
Human Resources,Central Services,HMRC (CHAPS),,01-01-2024,0000191248,"5,145.00",0.00,Apprentice levy,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-01-2024,0000191248,"170,831.29",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-01-2024,0000191248,"238,898.32",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-01-2024,0000191248,"7,567.00",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-01-2024,0000191250,"217,189.22",0.00,General,908000,Public Bodies Council support services,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-01-2024,0000191250,"79,203.05",0.00,General,908000,Public Bodies Council support services,
Human Resources,Central Services,HMRC (CHAPS),,01-01-2024,0000191251,"3,136.00",0.00,Apprentice levy,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-01-2024,0000191251,"115,288.90",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-01-2024,0000191251,"149,153.90",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-01-2024,0000191251,"3,032.00",0.00,General,908999,Public Bodies Not Elsewhere Classified,
