Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,Supplier,SupplierRegisteredCompanyNumber,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfExpenditureNarrative,Procurement(Merchant)Category,ProClass,ProClass 
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-10-2023,0000191113,"4,078.00",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-10-2023,0000191113,291.90,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-10-2023,0000191113,"21,832.12",0.00,Fuel,381600,Vehicle Mgt Leasing,
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-10-2023,0000191125,"4,680.70",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-10-2023,0000191125,400.77,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-10-2023,0000191125,"18,845.94",0.00,Fuel,381600,Vehicle Mgt Leasing,
Bank Charges,Central Services,ALLPAY.NET LTD (NCR),6871069,01-10-2023,0000191131,562.71,0.00,Commission,209999,Financial Services Not Elsewhere Classif,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-10-2023,0000191140,"162,528.97",0.00,General,908000,Public Bodies Council support services,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-10-2023,0000191140,"59,803.88",0.00,General,908000,Public Bodies Council support services,
Bank Charges,Central Services,National Westminister Bank PLC (CHAPS),,01-10-2023,0000191141,250.89,0.00,Commission,201200,Financial Services Banking,
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-11-2023,0000191142,"4,568.35",0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-11-2023,0000191142,"18,507.89",0.00,Fuel,381600,Vehicle Mgt Leasing,
Creditors,Non-Service Payments,National Westminister Bank PLC (CHAPS),,01-10-2023,0000191144,"2,095.00",0.00,General,201200,Financial Services Banking,
Human Resources,Central Services,HMRC (CHAPS),,01-10-2023,0000191145,"3,095.00",0.00,Apprentice levy,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-10-2023,0000191145,"88,750.43",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-10-2023,0000191145,"137,509.97",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-10-2023,0000191145,"2,847.00",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-10-2023,0000191146,"149,471.35",0.00,General,908000,Public Bodies Council support services,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-10-2023,0000191146,"54,410.85",0.00,General,908000,Public Bodies Council support services,
Support Services,Central Services,MIDLAND SOFTWARE LTD,01852206,01-10-2023,0000191149,"5,372.15",0.00,Software Maintenance,271600,ICT Software Customised & Bespoke,
Bank Charges,Central Services,National Westminister Bank PLC (CHAPS),,01-10-2023,0000191150,340.00,0.00,Commission,201200,Financial Services Banking,
Bank Charges,Central Services,National Westminister Bank PLC (CHAPS),,01-10-2023,0000191151,544.93,0.00,Commission,201200,Financial Services Banking,
Bank Charges,Central Services,National Westminister Bank PLC (CHAPS),,01-10-2023,0000191152,308.22,0.00,Commission,201200,Financial Services Banking,
Economic Development,Planning and Development,National Westminister Bank PLC (CHAPS),,01-10-2023,0000191154,"80,000.00",0.00,Contract payments,201200,Financial Services Banking,
