Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,Supplier,SupplierRegisteredCompanyNumber,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfExpenditureNarrative,Procurement(Merchant)Category,ProClass,ProClass 
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-09-2023,0000191077,"4,782.21",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-09-2023,0000191077,"1,001.99",0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-09-2023,0000191077,"17,909.80",0.00,Fuel,381600,Vehicle Mgt Leasing,
Other Items,Central Services,EBSS AF ENERGY REBATES,,01-09-2023,0000191098,400.00,0.00,Emergency Relief Grants,201711,Financial Services-Grants-Non Charity,
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-09-2023,0000191100,"1,518.03",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-09-2023,0000191100,475.13,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-09-2023,0000191100,"22,409.09",0.00,Fuel,381600,Vehicle Mgt Leasing,
Bank Charges,Central Services,ALLPAY.NET LTD (NCR),6871069,01-09-2023,0000191103,563.66,0.00,Commission,209999,Financial Services Not Elsewhere Classif,
Human Resources,Central Services,HMRC (CHAPS),,01-09-2023,0000191109,"3,196.00",0.00,Apprentice levy,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-09-2023,0000191109,"91,222.69",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-09-2023,0000191109,"139,507.85",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,HMRC (CHAPS),,01-09-2023,0000191109,"2,892.00",0.00,General,908999,Public Bodies Not Elsewhere Classified,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-09-2023,0000191110,"151,615.06",0.00,General,908000,Public Bodies Council support services,
Payroll Deductions,Non-Service Payments,CUMBRIA COUNTY COUNCIL (CHAPS),,01-09-2023,0000191110,"55,229.90",0.00,General,908000,Public Bodies Council support services,
Car Parks,Highways & Transport Services,ACCESS PAYSUITE LTD,,01-09-2023,0000191115,"2,713.34",0.00,Credit Card Commission,261500,HR Training & Conferences,
Bank Charges,Central Services,ACCESS PAYSUITE LTD,,01-09-2023,0000191115,"8,134.63",0.00,Commission,261500,HR Training & Conferences,
Information Services,Central Services,EE UK LTD (NCR),,01-09-2023,0000191116,392.91,0.00,Mobile Phones,351000,Street & Traffic Parking Car Parks,
Car Parks,Highways & Transport Services,ACCESS PAYSUITE LTD,,01-09-2023,0000191122,"14,762.09",0.00,Credit Card Commission,261500,HR Training & Conferences,
Bank Charges,Central Services,National Westminister Bank PLC (CHAPS),,01-09-2023,0000191123,253.42,0.00,Commission,201200,Financial Services Banking,
Delivery Commercial Services,Central Services,LAND REGISTRY (DD),,01-09-2023,0000191124,351.00,0.00,Land Search Fees,908999,Public Bodies Not Elsewhere Classified,
Case Management,Central Services,LAND REGISTRY (DD),,01-09-2023,0000191124,"1,119.00",0.00,Land Search Fees,908999,Public Bodies Not Elsewhere Classified,
Legal Governance Democracy,Central Services,LAND REGISTRY (DD),,01-09-2023,0000191124,"2,655.00",0.00,Land Search Fees,908999,Public Bodies Not Elsewhere Classified,
Disabled Facilities Grants,Housing,LAND REGISTRY (DD),,01-09-2023,0000191124,258.00,0.00,Land Search Fees,908999,Public Bodies Not Elsewhere Classified,
