"Invoices Paid for Direct Payments, Foster/Adoption/Pathway Payments for Westmorland and Furness Council",,,,,,,,
,,,,,,,,
coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure ,Line Number,Line Amount
DP8643,18/04/23,COUNTY COST CENTRES,,12797,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,276.24"
DP12855,18/04/23,Adult Social Care & Housing,Operations                    ,8032,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,476.60"
DP32511,24/04/23,Adult Social Care & Housing,Operations                    ,12643,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,461.83"
DP32511,18/04/23,COUNTY COST CENTRES,,12798,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,463.51
DP32511,18/04/23,COUNTY COST CENTRES,,12798,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,178.27
DP32511,18/04/23,COUNTY COST CENTRES,,12798,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,998.32
DP32511,18/04/23,COUNTY COST CENTRES,,12798,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,820.05
DP52167,18/04/23,Adult Social Care & Housing,Operations                    ,8034,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,108.80"
DP53571,18/04/23,Adult Social Care & Housing,Operations                    ,8036,DIRECT PAYMENT INCOME,Revenue,1,532.60
DP53571,18/04/23,Adult Social Care & Housing,Operations                    ,8036,DIRECT PAYMENT INCOME,Revenue,2,247.28
DP53571,24/04/23,Adult Social Care & Housing,Operations                    ,12644,INDIVIDUAL SERVICE FUNDS,Revenue,1,"4,017.12"
DP53571,18/04/23,COUNTY COST CENTRES,,12799,INDIVIDUAL SERVICE FUNDS,Revenue,1,"2,691.00"
DP53571,18/04/23,COUNTY COST CENTRES,,12799,INDIVIDUAL SERVICE FUNDS,Revenue,2,"1,521.00"
DP53571,18/04/23,COUNTY COST CENTRES,,12799,INDIVIDUAL SERVICE FUNDS,Revenue,3,585.00
DP53571,18/04/23,COUNTY COST CENTRES,,12799,INDIVIDUAL SERVICE FUNDS,Revenue,4,"3,276.00"
DP90075,18/04/23,COUNTY COST CENTRES,,12801,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,756.00
DP90075,18/04/23,COUNTY COST CENTRES,,12801,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,324.00
DP97095,24/04/23,Adult Social Care & Housing,Operations                    ,12645,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"13,661.85"
DP97095,18/04/23,COUNTY COST CENTRES,,12802,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"4,396.93"
DP97095,18/04/23,COUNTY COST CENTRES,,12802,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"1,691.13"
DP97095,18/04/23,COUNTY COST CENTRES,,12802,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"9,470.32"
DP97095,18/04/23,COUNTY COST CENTRES,,12802,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,"7,779.19"
DP106923,18/04/23,COUNTY COST CENTRES,,12804,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,321.52
DP113943,24/04/23,Adult Social Care & Housing,Operations                    ,12646,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,232.97"
DP113943,18/04/23,COUNTY COST CENTRES,,12805,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,207.88"
DP113943,18/04/23,COUNTY COST CENTRES,,12805,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"1,813.62"
DP113943,18/04/23,COUNTY COST CENTRES,,12805,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"1,025.09"
DP113943,18/04/23,COUNTY COST CENTRES,,12805,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,394.26
DP130791,18/04/23,Adult Social Care & Housing,Operations                    ,8040,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,486.04
DP130791,18/04/23,Adult Social Care & Housing,Operations                    ,8040,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,399.25
DP130791,18/04/23,Adult Social Care & Housing,Operations                    ,8040,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,204.81
DP130791,18/04/23,Adult Social Care & Housing,Operations                    ,8040,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,78.77
DP136407,18/04/23,Adult Social Care & Housing,Operations                    ,8042,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,793.44
DP146235,24/04/23,Adult Social Care & Housing,Operations                    ,12647,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,731.18"
DP146235,18/04/23,COUNTY COST CENTRES,,12806,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,482.01
DP146235,18/04/23,COUNTY COST CENTRES,,12806,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"2,699.24"
DP146235,18/04/23,COUNTY COST CENTRES,,12806,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"2,217.23"
DP146235,18/04/23,COUNTY COST CENTRES,,12806,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,"1,253.22"
DP149043,18/04/23,Adult Social Care & Housing,Operations                    ,8045,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,594.91
DP149043,18/04/23,Adult Social Care & Housing,Operations                    ,8045,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"3,331.52"
DP149043,18/04/23,Adult Social Care & Housing,Operations                    ,8045,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"2,736.61"
DP149043,18/04/23,Adult Social Care & Housing,Operations                    ,8045,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,"1,546.78"
DP154659,18/04/23,Adult Social Care & Housing,Operations                    ,8047,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,958.60"
DP161679,18/04/23,COUNTY COST CENTRES,,12808,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,508.28
DP184143,24/04/23,Adult Social Care & Housing,Operations                    ,12648,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,467.99"
DP184143,18/04/23,COUNTY COST CENTRES,,12809,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,089.24"
DP184143,18/04/23,COUNTY COST CENTRES,,12809,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,894.73
DP184143,18/04/23,COUNTY COST CENTRES,,12809,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,505.72
DP184143,18/04/23,COUNTY COST CENTRES,,12809,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,194.51
DP189759,24/04/23,Adult Social Care & Housing,Operations                    ,12649,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"6,481.45"
DP189759,18/04/23,COUNTY COST CENTRES,,12811,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,673.43"
DP189759,18/04/23,COUNTY COST CENTRES,,12811,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"2,076.29"
DP189759,18/04/23,COUNTY COST CENTRES,,12811,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,798.57
DP189759,18/04/23,COUNTY COST CENTRES,,12811,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,"4,472.00"
DP198183,24/04/23,Adult Social Care & Housing,Operations                    ,12650,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,036.24"
DP198183,18/04/23,COUNTY COST CENTRES,,12813,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,647.22
DP198183,18/04/23,COUNTY COST CENTRES,,12813,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,365.82
DP198183,18/04/23,COUNTY COST CENTRES,,12813,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,140.70
DP198183,18/04/23,COUNTY COST CENTRES,,12813,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,787.92
DP219243,18/04/23,Adult Social Care & Housing,Operations                    ,8054,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,30.00
DP219243,18/04/23,Adult Social Care & Housing,Operations                    ,8054,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,168.00
DP219243,18/04/23,Adult Social Care & Housing,Operations                    ,8054,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,138.00
DP219243,18/04/23,Adult Social Care & Housing,Operations                    ,8054,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,78.00
DP226263,24/04/23,Adult Social Care & Housing,Operations                    ,12651,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,571.02"
DP226263,18/04/23,COUNTY COST CENTRES,,12815,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,196.00"
DP226263,18/04/23,COUNTY COST CENTRES,,12815,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,460.00
DP226263,18/04/23,COUNTY COST CENTRES,,12815,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"2,576.00"
DP226263,18/04/23,COUNTY COST CENTRES,,12815,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,"2,116.00"
DP237495,24/04/23,Adult Social Care & Housing,Operations                    ,12652,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,420.58"
DP237495,18/04/23,COUNTY COST CENTRES,,12817,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,474.69
DP237495,18/04/23,COUNTY COST CENTRES,,12817,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,182.57
DP237495,18/04/23,COUNTY COST CENTRES,,12817,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"1,022.40"
DP237495,18/04/23,COUNTY COST CENTRES,,12817,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,839.83
DP254343,18/04/23,Adult Social Care & Housing,Operations                    ,8060,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,229.60"
DP254343,18/04/23,Adult Social Care & Housing,Operations                    ,8060,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"2,652.89"
DP254343,18/04/23,Adult Social Care & Housing,Operations                    ,8060,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"1,499.46"
DP254343,18/04/23,Adult Social Care & Housing,Operations                    ,8060,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,576.71
DP266979,18/04/23,COUNTY COST CENTRES,,12819,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,740.00
DP272595,18/04/23,Adult Social Care & Housing,Operations                    ,8064,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,955.35
DP272595,18/04/23,Adult Social Care & Housing,Operations                    ,8064,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,539.98
DP272595,18/04/23,Adult Social Care & Housing,Operations                    ,8064,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,207.69
DP272595,18/04/23,Adult Social Care & Housing,Operations                    ,8064,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,"1,163.04"
DP285231,18/04/23,COUNTY COST CENTRES,,12820,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,453.40
DP306291,18/04/23,COUNTY COST CENTRES,,12821,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,199.80"
DP309099,24/04/23,Adult Social Care & Housing,Operations                    ,12653,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,174.52"
DP309099,18/04/23,COUNTY COST CENTRES,,12822,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,701.80
DP309099,18/04/23,COUNTY COST CENTRES,,12822,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,396.67
DP309099,18/04/23,COUNTY COST CENTRES,,12822,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,152.56
DP309099,18/04/23,COUNTY COST CENTRES,,12822,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,854.36
DP313311,18/04/23,COUNTY COST CENTRES,,12824,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,398.00"
DP325947,18/04/23,Adult Social Care & Housing,Operations                    ,8068,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,464.51
DP325947,18/04/23,Adult Social Care & Housing,Operations                    ,8068,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"2,601.28"
DP325947,18/04/23,Adult Social Care & Housing,Operations                    ,8068,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"2,136.77"
DP325947,18/04/23,Adult Social Care & Housing,Operations                    ,8068,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,"1,207.74"
DP327351,18/04/23,COUNTY COST CENTRES,,12825,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,882.00
DP338583,18/04/23,Adult Social Care & Housing,Operations                    ,8070,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,085.16"
DP361047,18/04/23,Adult Social Care & Housing,Operations                    ,8071,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"5,123.76"
DP366663,18/04/23,Adult Social Care & Housing,Operations                    ,8072,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,300.00
DP368067,18/04/23,Adult Social Care & Housing,Operations                    ,8073,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,125.19
DP368067,18/04/23,Adult Social Care & Housing,Operations                    ,8073,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,70.76
DP368067,18/04/23,Adult Social Care & Housing,Operations                    ,8073,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,27.21
DP368067,18/04/23,Adult Social Care & Housing,Operations                    ,8073,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,152.40
DP390531,18/04/23,COUNTY COST CENTRES,,12826,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,310.00"
DP390531,18/04/23,COUNTY COST CENTRES,,12826,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,980.00
DP408783,18/04/23,COUNTY COST CENTRES,,12827,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,816.08
DP411591,18/04/23,Adult Social Care & Housing,Operations                    ,8075,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,77.19
DP411591,18/04/23,Adult Social Care & Housing,Operations                    ,8075,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,432.28
DP411591,18/04/23,Adult Social Care & Housing,Operations                    ,8075,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,355.09
DP411591,18/04/23,Adult Social Care & Housing,Operations                    ,8075,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,200.70
DP415803,18/04/23,Adult Social Care & Housing,Operations                    ,8077,INDIVIDUAL SERVICE FUNDS,Revenue,1,"1,999.31"
DP415803,18/04/23,Adult Social Care & Housing,Operations                    ,8077,INDIVIDUAL SERVICE FUNDS,Revenue,2,768.96
DP415803,18/04/23,Adult Social Care & Housing,Operations                    ,8077,INDIVIDUAL SERVICE FUNDS,Revenue,3,"4,306.20"
DP415803,18/04/23,Adult Social Care & Housing,Operations                    ,8077,INDIVIDUAL SERVICE FUNDS,Revenue,4,"3,537.24"
DP428439,18/04/23,Adult Social Care & Housing,Operations                    ,8079,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,080.00"
DP459327,18/04/23,COUNTY COST CENTRES,,12828,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,861.40
DP464943,18/04/23,Adult Social Care & Housing,Operations                    ,8080,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,520.48"
DP467751,18/04/23,Adult Social Care & Housing,Operations                    ,8081,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,330.60
DP469155,18/04/23,Adult Social Care & Housing,Operations                    ,8082,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,319.34
DP469155,18/04/23,Adult Social Care & Housing,Operations                    ,8082,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,122.82
DP469155,18/04/23,Adult Social Care & Housing,Operations                    ,8082,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,687.80
DP469155,18/04/23,Adult Social Care & Housing,Operations                    ,8082,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,564.98
DP480387,18/04/23,COUNTY COST CENTRES,,12829,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,639.44"
DP490215,24/04/23,Adult Social Care & Housing,Operations                    ,12654,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,732.12"
DP490215,18/04/23,COUNTY COST CENTRES,,12830,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,865.84"
DP490215,18/04/23,COUNTY COST CENTRES,,12830,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"1,532.65"
DP490215,18/04/23,COUNTY COST CENTRES,,12830,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,866.28
DP490215,18/04/23,COUNTY COST CENTRES,,12830,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,333.19
DP495831,18/04/23,Adult Social Care & Housing,Operations                    ,8085,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,469.58"
DP495831,18/04/23,Adult Social Care & Housing,Operations                    ,8085,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"8,229.64"
DP495831,18/04/23,Adult Social Care & Housing,Operations                    ,8085,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"6,760.06"
DP495831,18/04/23,Adult Social Care & Housing,Operations                    ,8085,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,"3,820.90"
DP497235,18/04/23,Adult Social Care & Housing,Operations                    ,8087,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,288.00
DP509871,18/04/23,Adult Social Care & Housing,Operations                    ,8088,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,474.16"
DP511275,24/04/23,Adult Social Care & Housing,Operations                    ,12655,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,397.02"
DP511275,18/04/23,COUNTY COST CENTRES,,12831,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,093.44"
DP511275,18/04/23,COUNTY COST CENTRES,,12831,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,898.18
DP511275,18/04/23,COUNTY COST CENTRES,,12831,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,469.13
DP511275,18/04/23,COUNTY COST CENTRES,,12831,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,180.44
DP519699,18/04/23,Adult Social Care & Housing,Operations                    ,8091,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,258.36"
DP519699,18/04/23,Adult Social Care & Housing,Operations                    ,8091,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"2,676.51"
DP519699,18/04/23,Adult Social Care & Housing,Operations                    ,8091,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"1,512.81"
DP519699,18/04/23,Adult Social Care & Housing,Operations                    ,8091,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,581.85
DP525315,24/04/23,Adult Social Care & Housing,Operations                    ,12656,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,730.63"
DP525315,18/04/23,COUNTY COST CENTRES,,12833,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,600.00"
DP525315,18/04/23,COUNTY COST CENTRES,,12833,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"2,135.71"
DP525315,18/04/23,COUNTY COST CENTRES,,12833,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"1,207.14"
DP525315,18/04/23,COUNTY COST CENTRES,,12833,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,464.29
DP526719,18/04/23,COUNTY COST CENTRES,,12835,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,656.80
DP537951,24/04/23,Adult Social Care & Housing,Operations                    ,12657,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"4,668.55"
DP537951,18/04/23,COUNTY COST CENTRES,,12836,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,618.94"
DP537951,18/04/23,COUNTY COST CENTRES,,12836,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"1,480.27"
