"Invoices Paid for Direct Payments, Foster/Adoption/Pathway Payments for Westmorland & Furness Council",,,,,,,,,
,,,,,,,,,
company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure ,Line Number,Line Amount
WF,DP8643,16/05/2023,COUNTY COST CENTRES,,36991,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,276.24"
WF,DP32511,16/05/2023,COUNTY COST CENTRES,,36992,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,998.32
WF,DP53571,16/05/2023,COUNTY COST CENTRES,,36993,INDIVIDUAL SERVICE FUNDS,Revenue,1,"3,276.00"
WF,DP90075,16/05/2023,COUNTY COST CENTRES,,36995,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,756
WF,DP90075,16/05/2023,COUNTY COST CENTRES,,36995,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,324
WF,DP97095,16/05/2023,COUNTY COST CENTRES,,36996,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"9,470.32"
WF,DP106923,16/05/2023,COUNTY COST CENTRES,,36997,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,321.52
WF,DP113943,16/05/2023,COUNTY COST CENTRES,,36998,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,207.88"
WF,DP146235,16/05/2023,COUNTY COST CENTRES,,36999,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,699.24"
WF,DP161679,16/05/2023,COUNTY COST CENTRES,,37000,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,508.28
WF,DP184143,16/05/2023,COUNTY COST CENTRES,,37001,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,089.24"
WF,DP189759,16/05/2023,COUNTY COST CENTRES,,37002,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"4,472.00"
WF,DP198183,16/05/2023,COUNTY COST CENTRES,,37003,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,787.92
WF,DP226263,16/05/2023,COUNTY COST CENTRES,,37004,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,576.00"
WF,DP237495,16/05/2023,COUNTY COST CENTRES,,37005,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,516.24"
WF,DP237495,16/05/2023,COUNTY COST CENTRES,,37005,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"1,516.24"
WF,DP266979,16/05/2023,COUNTY COST CENTRES,,37007,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,793.24
WF,DP266979,16/05/2023,COUNTY COST CENTRES,,37007,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,793.24
WF,DP266979,16/05/2023,COUNTY COST CENTRES,,37007,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,651.59
WF,DP285231,16/05/2023,COUNTY COST CENTRES,,37009,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,453.4
WF,DP306291,16/05/2023,COUNTY COST CENTRES,,37010,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,199.80"
WF,DP309099,16/05/2023,COUNTY COST CENTRES,,37011,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,854.36
WF,DP313311,16/05/2023,COUNTY COST CENTRES,,37012,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,398.00"
WF,DP327351,16/05/2023,COUNTY COST CENTRES,,37013,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,882
WF,DP390531,16/05/2023,COUNTY COST CENTRES,,37014,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,310.00"
WF,DP390531,16/05/2023,COUNTY COST CENTRES,,37014,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,980
WF,DP408783,16/05/2023,COUNTY COST CENTRES,,37015,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,816.08
WF,DP459327,16/05/2023,COUNTY COST CENTRES,,37016,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,861.4
WF,DP480387,16/05/2023,COUNTY COST CENTRES,,37017,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,639.44"
WF,DP490215,16/05/2023,COUNTY COST CENTRES,,37018,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,865.84"
WF,DP511275,16/05/2023,COUNTY COST CENTRES,,37019,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,093.44"
WF,DP525315,16/05/2023,COUNTY COST CENTRES,,37020,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,259.02"
WF,DP525315,16/05/2023,COUNTY COST CENTRES,,37020,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"4,345.36"
WF,DP526719,16/05/2023,COUNTY COST CENTRES,,37022,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,656.8
WF,DP537951,16/05/2023,COUNTY COST CENTRES,,37023,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,188.28"
WF,DP546375,16/05/2023,COUNTY COST CENTRES,,37024,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"5,603.48"
WF,DP546375,16/05/2023,COUNTY COST CENTRES,,37024,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"5,603.48"
WF,DP546375,16/05/2023,COUNTY COST CENTRES,,37024,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"4,602.86"
WF,DP546375,16/05/2023,COUNTY COST CENTRES,,37024,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,25
WF,DP577263,16/05/2023,COUNTY COST CENTRES,,37026,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,431.6
WF,DP608151,16/05/2023,COUNTY COST CENTRES,,37027,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,419.16
WF,DP609555,16/05/2023,COUNTY COST CENTRES,,37028,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,210.80"
WF,DP615171,16/05/2023,COUNTY COST CENTRES,,37029,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,429.64"
WF,DP698007,16/05/2023,COUNTY COST CENTRES,,37030,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,032.64"
WF,DP716259,16/05/2023,COUNTY COST CENTRES,,37031,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,051.52"
WF,DP723279,16/05/2023,COUNTY COST CENTRES,,37032,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,051.08"
WF,DP737319,16/05/2023,COUNTY COST CENTRES,,37033,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,098.80"
WF,DP744339,16/05/2023,COUNTY COST CENTRES,,37034,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,612
WF,DP752763,16/05/2023,COUNTY COST CENTRES,,37035,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,065.08"
WF,DP756975,16/05/2023,COUNTY COST CENTRES,,37036,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,724.96"
WF,DP759783,16/05/2023,COUNTY COST CENTRES,,37037,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,759
WF,DP853851,16/05/2023,COUNTY COST CENTRES,,37039,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,598.32"
WF,DP887547,15/05/2023,COUNTY COST CENTRES,,36105,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,427.72"
WF,DP919839,16/05/2023,COUNTY COST CENTRES,,37040,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,280
WF,DP966171,16/05/2023,COUNTY COST CENTRES,,37041,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,704.16"
WF,DP1033563,16/05/2023,COUNTY COST CENTRES,,37042,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,043.16"
WF,DP1123419,16/05/2023,COUNTY COST CENTRES,,37043,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,755.16"
