company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,PH519699,RISEDALE RETIREMENT HOME,04/04/2024,351711,ADULT SERVICES,OPERATIONS                    ,NURSING CARE BLOCK,Revenue,4,"-3,734.37"
WF,PH519699,RISEDALE RETIREMENT HOME,04/04/2024,351711,ADULT SERVICES,OPERATIONS                    ,NURSING CARE BLOCK,Revenue,6,"-2,543.80"
WF,PH519699,RISEDALE RETIREMENT HOME,04/04/2024,351711,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,42,"-2,005.46"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,1,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,2,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,3,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,4,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,5,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,6,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,7,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,8,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,9,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,10,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,11,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,12,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,13,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,14,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,15,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,16,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,17,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,18,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,19,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,20,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,21,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,22,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,23,"-1,788.00"
WF,PH306291,CARTMEL GRANGE NURSING HME,04/04/2024,351661,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,24,"-1,788.00"
