company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,PH4431,APPLEGARTH HEALTHCARE LTD,06/02/2025,651950,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,1,"1,700.86"
WF,PH4431,APPLEGARTH HEALTHCARE LTD,20/02/2025,667477,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,1,"1,700.86"
WF,PH4431,APPLEGARTH HEALTHCARE LTD,20/02/2025,667477,ADULT SERVICES,OPERATIONS                    ,RESPITE RESIDENTIAL,Revenue,2,"2,172.62"
WF,PH4431,APPLEGARTH HEALTHCARE LTD,20/02/2025,667477,ADULT SERVICES,OPERATIONS                    ,RESPITE RESIDENTIAL,Revenue,3,931.12
WF,PH4431,APPLEGARTH HEALTHCARE LTD,20/02/2025,667477,ADULT SERVICES,OPERATIONS                    ,RESPITE RESIDENTIAL,Revenue,4,"2,172.62"
WF,PH8643,RIVERWELL BECK CARE HOME,06/02/2025,651951,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,1,"1,956.22"
WF,PH8643,RIVERWELL BECK CARE HOME,06/02/2025,651951,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,2,"1,956.22"
WF,PH8643,RIVERWELL BECK CARE HOME,06/02/2025,651951,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,3,"1,886.22"
WF,PH8643,RIVERWELL BECK CARE HOME,06/02/2025,651951,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,4,"1,700.86"
WF,PH8643,RIVERWELL BECK CARE HOME,06/02/2025,651951,ADULT SERVICES,OPERATIONS                    ,RESPITE RESIDENTIAL,Revenue,5,"1,886.22"
WF,PH8643,RIVERWELL BECK CARE HOME,20/02/2025,667478,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,1,"1,956.22"
WF,PH8643,RIVERWELL BECK CARE HOME,20/02/2025,667478,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,2,"1,956.22"
WF,PH8643,RIVERWELL BECK CARE HOME,20/02/2025,667478,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,3,"1,886.22"
WF,PH8643,RIVERWELL BECK CARE HOME,20/02/2025,667478,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,4,"1,700.86"
WF,PH8643,RIVERWELL BECK CARE HOME,20/02/2025,667478,ADULT SERVICES,OPERATIONS                    ,RESPITE RESIDENTIAL,Revenue,5,"1,886.22"
WF,PH10047,BOARBANK HALL NURS HOME,06/02/2025,651952,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,1,"3,200.00"
