company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,PH335775,ABBEYFIELD (LAKELAND EXTRA SOC LTD,01/05/2024,378108,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,2,"-2,100.00"
WF,PH335775,ABBEYFIELD (LAKELAND EXTRA SOC LTD,01/05/2024,378108,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,3,"-2,100.00"
WF,PH519699,RISEDALE RETIREMENT HOME,01/05/2024,378138,ADULT SERVICES,OPERATIONS                    ,NURSING CARE BLOCK,Revenue,1,"-2,026.08"
WF,PH348411,HERON HILL CARE HOME,01/05/2024,378111,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,2,"-1,956.22"
WF,PH1147287,HC-ONE OVAL LTD,01/05/2024,378176,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,6,"-1,700.86"
WF,PH1286283,INGLEWOOD (CUMBRIA) LTD,01/05/2024,378191,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,2,"-1,700.86"
WF,PH519699,RISEDALE RETIREMENT HOME,01/05/2024,378138,ADULT SERVICES,OPERATIONS                    ,NURSING CARE BLOCK,Revenue,4,"-1,643.46"
WF,PH321735,ELMSFIELD HOUSE LTD RES HOME,01/05/2024,378104,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,1,"-1,584.56"
WF,PH321735,ELMSFIELD HOUSE LTD RES HOME,01/05/2024,378104,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,2,"-1,584.56"
WF,PH1147287,HC-ONE OVAL LTD,01/05/2024,378176,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,2,"-1,566.60"
WF,PH1147287,HC-ONE OVAL LTD,01/05/2024,378176,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,3,"-1,566.60"
WF,PH1147287,HC-ONE OVAL LTD,01/05/2024,378176,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,4,"-1,566.60"
WF,PH417207,SILVER HOWE,01/05/2024,378124,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,1,"-1,336.39"
WF,PH1286283,INGLEWOOD (CUMBRIA) LTD,01/05/2024,378191,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,1,"-1,336.39"
WF,PH1286283,INGLEWOOD (CUMBRIA) LTD,01/05/2024,378191,ADULT SERVICES,OPERATIONS                    ,RESPITE RESIDENTIAL,Revenue,3,"-1,336.39"
WF,PH519699,RISEDALE RETIREMENT HOME,01/05/2024,378138,ADULT SERVICES,OPERATIONS                    ,NURSING CARE BLOCK,Revenue,3,"-1,157.76"
WF,PH414399,WESTMORLAND COURT,01/05/2024,378122,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,3,"-1,093.41"
WF,PH414399,WESTMORLAND COURT,01/05/2024,378122,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,2,"-1,077.84"
WF,PH335775,ABBEYFIELD (LAKELAND EXTRA SOC LTD,01/05/2024,378108,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,1,"-1,050.00"
WF,PH233283,STANBECK RESIDENTIAL HOME,01/05/2024,378095,ADULT SERVICES,OPERATIONS                    ,RESPITE RESIDENTIAL,Revenue,1,-850.43
WF,PH904395,ABBEY HEALTHCARE WESTMORELAND LTD,01/05/2024,378157,ADULT SERVICES,OPERATIONS                    ,RESPITE RESIDENTIAL,Revenue,1,-728.94
WF,PH469155,OSTLEY HOUSE VISION SUPPORT,01/05/2024,378133,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,1,-673.65
WF,PH519699,RISEDALE RETIREMENT HOME,01/05/2024,378138,ADULT SERVICES,OPERATIONS                    ,NURSING CARE BLOCK,Revenue,2,-578.88
WF,PH1147287,HC-ONE OVAL LTD,01/05/2024,378176,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,1,-559.5
WF,PH1147287,HC-ONE OVAL LTD,01/05/2024,378176,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,5,-364.47
WF,PH414399,WESTMORLAND COURT,01/05/2024,378122,ADULT SERVICES,OPERATIONS                    ,RESPITE RESIDENTIAL,Revenue,1,-333.12
WF,PH348411,HERON HILL CARE HOME,01/05/2024,378111,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,1,-279.46
WF,PH904395,ABBEY HEALTHCARE WESTMORELAND LTD,01/05/2024,378156,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,28,121.49
WF,PH904395,ABBEY HEALTHCARE WESTMORELAND LTD,01/05/2024,378156,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,36,121.49
WF,PH904395,ABBEY HEALTHCARE WESTMORELAND LTD,01/05/2024,378156,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,53,333.12
WF,PH1030755,STONECROSS CARE HOME KENDAL LTD,01/05/2024,378166,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,15,364.47
WF,PH414399,WESTMORLAND COURT,01/05/2024,378121,ADULT SERVICES,OPERATIONS                    ,RESPITE RESIDENTIAL,Revenue,31,404.19
WF,PH306291,CARTMEL GRANGE NURSING HME,01/05/2024,378100,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,22,444.16
WF,PH904395,ABBEY HEALTHCARE WESTMORELAND LTD,01/05/2024,378156,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,6,558.92
WF,PH519699,RISEDALE RETIREMENT HOME,01/05/2024,378137,ADULT SERVICES,OPERATIONS                    ,NURSING CARE BLOCK,Revenue,7,578.88
WF,PH904395,ABBEY HEALTHCARE WESTMORELAND LTD,01/05/2024,378156,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,46,607.45
WF,PH1046199,VELDA JAMESON,01/05/2024,378168,ADULT SERVICES,OPERATIONS                    ,RESPITE RESIDENTIAL,Revenue,3,615.71
WF,PH306291,CARTMEL GRANGE NURSING HME,01/05/2024,378100,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,15,728.94
WF,PH1130439,POTENSIAL LTD TA POTENS,01/05/2024,378172,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,1,800.98
WF,PH348411,HERON HILL CARE HOME,01/05/2024,378110,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,39,838.38
WF,PH414399,WESTMORLAND COURT,01/05/2024,378121,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,21,850.43
WF,PH417207,SILVER HOWE,01/05/2024,378123,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,6,850.43
WF,PH904395,ABBEY HEALTHCARE WESTMORELAND LTD,01/05/2024,378156,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,32,850.43
WF,PH904395,ABBEY HEALTHCARE WESTMORELAND LTD,01/05/2024,378156,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,40,850.43
WF,PH87267,PARKFIELD,01/05/2024,378083,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,10,894
WF,PH87267,PARKFIELD,01/05/2024,378083,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,13,894
WF,PH87267,PARKFIELD,01/05/2024,378083,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,16,894
WF,PH573051,FERNBANK LODGE,01/05/2024,378143,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,2,965.24
WF,PH317523,THE CROFT-BARROW IN FURNESS,01/05/2024,378101,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,9,970
WF,PH306291,CARTMEL GRANGE NURSING HME,01/05/2024,378100,ADULT SERVICES,OPERATIONS                    ,RESPITE RESIDENTIAL,Revenue,24,978.11
WF,PH573051,FERNBANK LODGE,01/05/2024,378143,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,5,990.9
WF,PH414399,WESTMORLAND COURT,01/05/2024,378121,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,17,"1,021.43"
WF,PH335775,ABBEYFIELD (LAKELAND EXTRA SOC LTD,01/05/2024,378107,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,2,"1,071.00"
WF,PH971787,FIELDHEAD PARK CARE HOME,01/05/2024,378160,ADULT SERVICES,OPERATIONS                    ,RESIDENTIAL CARE SPOT,Revenue,1,"1,244.78"
WF,PH306291,CARTMEL GRANGE NURSING HME,01/05/2024,378100,ADULT SERVICES,OPERATIONS                    ,NURSING CARE SPOT,Revenue,11,"1,257.57"
