Company,Coded Supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,DP8643,26/11/2024,ADULT SERVICES,OPERATIONS                    ,580620,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,200.00"
WF,DP32511,26/11/2024,ADULT SERVICES,OPERATIONS                    ,580621,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,384.24
WF,DP53571,07/11/2024,ADULT SERVICES,OPERATIONS                    ,565173,INDIVIDUAL SERVICE FUNDS,Revenue,1,"3,873.24"
WF,DP53571,07/11/2024,ADULT SERVICES,OPERATIONS                    ,565173,INDIVIDUAL SERVICE FUNDS,Revenue,2,"3,873.24"
WF,DP53571,07/11/2024,ADULT SERVICES,OPERATIONS                    ,565173,INDIVIDUAL SERVICE FUNDS,Revenue,3,"3,873.24"
WF,DP53571,07/11/2024,ADULT SERVICES,OPERATIONS                    ,565173,INDIVIDUAL SERVICE FUNDS,Revenue,4,"3,873.24"
WF,DP53571,07/11/2024,ADULT SERVICES,OPERATIONS                    ,565173,INDIVIDUAL SERVICE FUNDS,Revenue,5,"3,873.24"
WF,DP53571,07/11/2024,ADULT SERVICES,OPERATIONS                    ,565173,INDIVIDUAL SERVICE FUNDS,Revenue,6,"3,873.24"
WF,DP53571,07/11/2024,ADULT SERVICES,OPERATIONS                    ,565173,INDIVIDUAL SERVICE FUNDS,Revenue,7,"3,873.24"
WF,DP53571,07/11/2024,ADULT SERVICES,OPERATIONS                    ,565173,INDIVIDUAL SERVICE FUNDS,Revenue,8,"3,873.24"
WF,DP53571,07/11/2024,ADULT SERVICES,OPERATIONS                    ,565173,INDIVIDUAL SERVICE FUNDS,Revenue,9,"2,904.93"
WF,DP53571,26/11/2024,ADULT SERVICES,OPERATIONS                    ,580622,INDIVIDUAL SERVICE FUNDS,Revenue,1,"3,873.24"
WF,DP97095,26/11/2024,ADULT SERVICES,OPERATIONS                    ,580624,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"11,804.32"
WF,DP106923,26/11/2024,ADULT SERVICES,OPERATIONS                    ,580625,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,321.52
WF,DP113943,26/11/2024,ADULT SERVICES,OPERATIONS                    ,580626,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,792.28"
WF,DP146235,26/11/2024,ADULT SERVICES,OPERATIONS                    ,580627,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,989.80"
WF,DP161679,26/11/2024,ADULT SERVICES,OPERATIONS                    ,580628,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,023.48"
WF,DP184143,26/11/2024,ADULT SERVICES,OPERATIONS                    ,580629,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,089.24"
WF,DP189759,26/11/2024,ADULT SERVICES,OPERATIONS                    ,580630,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"14,560.00"
WF,DP198183,26/11/2024,ADULT SERVICES,OPERATIONS                    ,580631,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,025.72"
WF,DP226263,26/11/2024,ADULT SERVICES,OPERATIONS                    ,580632,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,576.00"
WF,DP237495,26/11/2024,ADULT SERVICES,OPERATIONS                    ,580633,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,516.24"
