Company,Coded Supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,DP8643,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525562,DIRECT PAYMENTS TO SERVICE USE,Revenue,1," 1,200.00 "
WF,DP32511,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525563,DIRECT PAYMENTS TO SERVICE USE,Revenue,1, 384.24 
WF,DP53571,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525564,INDIVIDUAL SERVICE FUNDS,Revenue,1," 3,539.92 "
WF,DP97095,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525566,DIRECT PAYMENTS TO SERVICE USE,Revenue,1," 11,804.32 "
WF,DP106923,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525567,DIRECT PAYMENTS TO SERVICE USE,Revenue,1, 321.52 
WF,DP113943,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525568,DIRECT PAYMENTS TO SERVICE USE,Revenue,1," 2,792.28 "
WF,DP113943,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525568,DIRECT PAYMENTS TO SERVICE USE,Revenue,2," 1,695.31 "
WF,DP113943,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525568,DIRECT PAYMENTS TO SERVICE USE,Revenue,3, 25.00 
WF,DP113943,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525568,DIRECT PAYMENTS TO SERVICE USE,Revenue,4," 2,792.28 "
WF,DP146235,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525570,DIRECT PAYMENTS TO SERVICE USE,Revenue,1," 2,989.80 "
WF,DP161679,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525571,DIRECT PAYMENTS TO SERVICE USE,Revenue,1, 508.28 
WF,DP184143,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525572,DIRECT PAYMENTS TO SERVICE USE,Revenue,1," 1,089.24 "
WF,DP189759,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525573,DIRECT PAYMENTS TO SERVICE USE,Revenue,1," 14,560.00 "
WF,DP198183,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525574,DIRECT PAYMENTS TO SERVICE USE,Revenue,1," 1,025.72 "
WF,DP226263,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525575,DIRECT PAYMENTS TO SERVICE USE,Revenue,1," 2,576.00 "
WF,DP237495,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525576,DIRECT PAYMENTS TO SERVICE USE,Revenue,1," 1,516.24 "
WF,DP266979,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525577,DIRECT PAYMENTS TO SERVICE USE,Revenue,1, 853.20 
WF,DP306291,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525578,DIRECT PAYMENTS TO SERVICE USE,Revenue,1," 1,346.04 "
WF,DP309099,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525579,DIRECT PAYMENTS TO SERVICE USE,Revenue,1, 854.36 
WF,DP313311,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525580,DIRECT PAYMENTS TO SERVICE USE,Revenue,1," 3,398.00 "
WF,DP327351,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525581,DIRECT PAYMENTS TO SERVICE USE,Revenue,1," 1,114.44 "
WF,DP390531,01/10/2024,ADULT SERVICES,OPERATIONS                    ,525582,DIRECT PAYMENTS TO SERVICE USE,Revenue,1," 1,464.32 "
