company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,DP8643,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470449,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,200.00"
WF,DP32511,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470450,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,384.24
WF,DP53571,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470451,INDIVIDUAL SERVICE FUNDS,Revenue,1,"3,539.92"
WF,DP97095,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470453,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"11,804.32"
WF,DP106923,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470454,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,321.52
WF,DP113943,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470455,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,207.88"
WF,DP146235,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470456,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,989.80"
WF,DP161679,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470457,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,508.28
WF,DP184143,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470458,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,089.24"
WF,DP189759,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470459,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"14,560.00"
WF,DP198183,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470460,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,025.72"
WF,DP226263,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470461,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,576.00"
WF,DP237495,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470462,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,516.24"
WF,DP266979,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470463,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,853.20
WF,DP306291,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470464,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,346.04"
WF,DP309099,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470465,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,854.36
WF,DP313311,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470466,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,398.00"
WF,DP327351,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470467,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,114.44"
WF,DP327351,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470467,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,636.82
WF,DP327351,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470467,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"1,114.44"
WF,DP390531,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470469,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,464.32"
WF,DP390531,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470469,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,980.00
WF,DP408783,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470470,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,816.08
WF,DP459327,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470471,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,292.40"
WF,DP480387,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470472,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,639.44"
WF,DP490215,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470473,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,110.96"
WF,DP511275,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470474,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,413.48"
WF,DP525315,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470475,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"4,345.36"
WF,DP526719,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470476,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,656.80
WF,DP536547,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470477,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,000.00"
WF,DP536547,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470477,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"2,000.00"
WF,DP536547,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470477,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"2,000.00"
WF,DP546375,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470478,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"6,263.68"
WF,DP577263,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470479,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,972.72
WF,DP608151,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470480,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,884.76
WF,DP609555,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470481,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,210.80"
WF,DP615171,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470482,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,654.84"
WF,DP698007,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470483,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,032.64"
WF,DP716259,06/08/2024,ADULT SERVICES,OPERATIONS                    ,470484,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,408.84"
