Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,SU71823,BELL DECORATING GROUP LIMITED,03/03/2025,676478,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,480.00"
WF,SU84459,B & K BUILDERS LTD,03/03/2025,676479,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,252.00
WF,SU205203,ARNOLD DIGGLE & SON LTD,03/03/2025,676776,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,VEHICLE MAINTENANCE & REPS,Revenue,1,960.00
WF,SU347007,JJ GROUP (CONTRACTING) LIMITED,03/03/2025,676470,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,"1,935.74"
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676481,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,015.05"
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676484,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,684.79
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676485,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,387.60
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676486,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,375.74
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676488,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,280.44
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676490,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,335.16
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676491,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,482.67
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676493,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,279.87
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676494,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,319.48
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676496,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,250.80
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676498,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"2,059.92"
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676499,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,219.23"
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676500,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,446.65
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676501,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,289.56
WF,SU674139,TOP NOTCH CONTRACTORS LTD,03/03/2025,676502,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,1,"12,997.25"
WF,SU926859,HEIDELBERG MATERIALS UK,03/03/2025,676660,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,HIGHWAYS: CONTRACTOR,Capital,1,"49,972.42"
WF,SU926859,HEIDELBERG MATERIALS UK,03/03/2025,676660,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,HIGHWAYS: CONTRACTOR,Capital,2,"2,082.18"
WF,SU926859,HEIDELBERG MATERIALS UK,03/03/2025,676660,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,CREDITORS CAPITAL,Capital,3,"-2,082.18"
WF,SU926859,HEIDELBERG MATERIALS UK,03/03/2025,676672,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,HIGHWAYS: CONTRACTOR,Capital,1,"18,585.65"
WF,SU926859,HEIDELBERG MATERIALS UK,03/03/2025,676672,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,HIGHWAYS: CONTRACTOR,Capital,2,774.40
WF,SU926859,HEIDELBERG MATERIALS UK,03/03/2025,676672,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,CREDITORS CAPITAL,Capital,3,-774.40
WF,SU1760835,OPTECH FIBRES LTD,03/03/2025,676503,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,CAPITAL ADDITIONS - OTHER,Capital,1,285.00
WF,SU1953183,THE CATERING PARTNERSHIP,03/03/2025,676415,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,REPAIRS & MAINTENANCE,Revenue,1,299.81
WF,SU2106219,SOUTH LAKES TREE SURGEONS & LANDSCAPES,03/03/2025,676504,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,GROUNDS MAINTENANCE,Revenue,1,580.00
WF,SU2163783,ALTITUDE SERVICES LTD,03/03/2025,676276,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,PRIVATE WORKS,Revenue,1,"5,686.92"
WF,SU2906499,D J TAYLOR PLUMBING & HEATING LTD,03/03/2025,676257,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,340.00
WF,SU3132543,IAN DOCKERTY LIMITED,03/03/2025,676505,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,165.00
WF,SU3132543,IAN DOCKERTY LIMITED,03/03/2025,676505,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,165.00
WF,SU3132543,IAN DOCKERTY LIMITED,03/03/2025,676505,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,3,220.00
WF,SU3132543,IAN DOCKERTY LIMITED,03/03/2025,676506,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,65.70
WF,SU3132543,IAN DOCKERTY LIMITED,03/03/2025,676506,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,75.00
WF,SU3132543,IAN DOCKERTY LIMITED,03/03/2025,676506,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,3,65.70
WF,SU3132543,IAN DOCKERTY LIMITED,03/03/2025,676506,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,4,109.50
WF,SU3132543,IAN DOCKERTY LIMITED,03/03/2025,676506,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,5,153.30
WF,SU3132543,IAN DOCKERTY LIMITED,03/03/2025,676506,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,6,43.80
WF,SU3132543,IAN DOCKERTY LIMITED,03/03/2025,676506,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,7,14.60
WF,SU3132543,IAN DOCKERTY LIMITED,03/03/2025,676506,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,8,357.70
WF,SU3132543,IAN DOCKERTY LIMITED,03/03/2025,676506,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,9,25.55
WF,SU3135351,DLP SERVICES (NORTHERN) LTD,03/03/2025,676266,THRIVING COMMUNITIES,HOUSING                       ,BBC HRA Routine Maintenance,Revenue,1,"3,217.79"
WF,SU3135351,DLP SERVICES (NORTHERN) LTD,03/03/2025,676269,THRIVING COMMUNITIES,HOUSING                       ,BBC HRA Routine Maintenance,Revenue,1,"5,851.23"
WF,SU3139563,INSPECTAS COMPLIANCE LTD,03/03/2025,676507,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,350.00
WF,SU3139563,INSPECTAS COMPLIANCE LTD,03/03/2025,676508,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,200.00"
