Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,SU1053219,COLIN BRISCOE CONSTRUCTION LTD,13/12/2024,600660,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,CAPITAL ADDITIONS - OTHER,Capital,1,"201,585.39"
WF,SU112539,BRAMPTON WOODWORKS,27/12/2024,613464,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,GROUNDS MAINTENANCE,Revenue,1,875.00
WF,SU1234335,STAGE ELECTRICS PARTNERSHIP LTD,18/12/2024,606594,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,"OTHR EQUIP,TOOLS & MATERIALS",Revenue,1,342.00
WF,SU1234335,STAGE ELECTRICS PARTNERSHIP LTD,18/12/2024,606594,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,"OTHR EQUIP,TOOLS & MATERIALS",Revenue,2,19.50
WF,SU1239951,IT SHAW LTD,11/12/2024,598917,CENTRAL CONTROL / BANK,OTHER CONTROL & SUSPENSE      ,IM - HIGHWAYS STORES,Capital,1,"2,369.48"
WF,SU1239951,IT SHAW LTD,11/12/2024,599133,THRIVING PLACES,CLIMATE & NATURAL ENVIRONMENT ,REPAIRS & MAINTENANCE,Revenue,1,"5,793.30"
WF,SU1276455,TELENT TECHNOLOGY SERVICES LTD,18/12/2024,606299,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,TRAFFIC SIGNAL MAINTENANCE,Revenue,1,946.80
WF,SU1276455,TELENT TECHNOLOGY SERVICES LTD,18/12/2024,606299,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,TRAFFIC SIGNAL MAINTENANCE,Revenue,2,"2,350.25"
WF,SU1276455,TELENT TECHNOLOGY SERVICES LTD,18/12/2024,606299,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,TRAFFIC SIGNAL MAINTENANCE,Revenue,3,"2,151.14"
WF,SU1276455,TELENT TECHNOLOGY SERVICES LTD,23/12/2024,610708,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,TRAFFIC SIGNAL MAINTENANCE,Revenue,1,"3,784.32"
WF,SU1276455,TELENT TECHNOLOGY SERVICES LTD,23/12/2024,610708,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,TRAFFIC SIGNAL MAINTENANCE,Revenue,2,"1,150.00"
WF,SU1276455,TELENT TECHNOLOGY SERVICES LTD,23/12/2024,610708,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,TRAFFIC SIGNAL MAINTENANCE,Revenue,3,525.00
WF,SU1276455,TELENT TECHNOLOGY SERVICES LTD,23/12/2024,610708,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,TRAFFIC SIGNAL MAINTENANCE,Revenue,4,525.00
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,165.00
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,177.50
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,3,306.40
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,4,80.00
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,5,397.80
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,6,"1,576.99"
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,7,80.00
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,8,141.95
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,9,207.77
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,10,100.00
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,11,80.00
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,12,195.00
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,13,182.40
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,14,179.84
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,15,100.00
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,16,105.00
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,17,220.75
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,18,80.00
WF,SU129387,CARLISLE JOINERY LTD,09/12/2024,594326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,19,80.00
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,80.00
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,80.00
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,3,40.00
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,4,215.20
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,5,80.00
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,6,80.00
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,7,255.70
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,8,385.50
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,9,157.00
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,10,275.23
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,11,80.00
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,12,314.40
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,13,80.00
WF,SU129387,CARLISLE JOINERY LTD,23/12/2024,610552,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,14,140.00
WF,SU1297515,SYSTEM INFORMATION TECHNOLOGY LTD,02/12/2024,588308,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,EDUC COMPUTERS & EQPT HARDWARE,Revenue,1,"1,525.02"
WF,SU1297515,SYSTEM INFORMATION TECHNOLOGY LTD,02/12/2024,588309,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,EDUC COMPUTERS & EQPT SOFTWARE,Revenue,1,297.00
WF,SU1297515,SYSTEM INFORMATION TECHNOLOGY LTD,06/12/2024,593682,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,EDUC COMPUTERS & EQPT SOFTWARE,Revenue,1,287.00
WF,SU1297515,SYSTEM INFORMATION TECHNOLOGY LTD,11/12/2024,598870,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,SUBSCRIPTIONS,Revenue,1,"1,044.00"
WF,SU1297515,SYSTEM INFORMATION TECHNOLOGY LTD,18/12/2024,605041,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,EDUC COMPUTERS & EQPT SOFTWARE,Revenue,1,274.75
WF,SU1297515,SYSTEM INFORMATION TECHNOLOGY LTD,19/12/2024,607399,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,EDUC COMPUTERS & EQPT HARDWARE,Revenue,1,"12,349.93"
WF,SU1297515,SYSTEM INFORMATION TECHNOLOGY LTD,20/12/2024,608798,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,EDUC COMPUTERS & EQPT SOFTWARE,Revenue,1,462.00
WF,SU1297515,SYSTEM INFORMATION TECHNOLOGY LTD,22/12/2024,608990,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,CURRICULUM PHOTOCOPIER USAGE,Revenue,1,378.27
WF,SU1297515,SYSTEM INFORMATION TECHNOLOGY LTD,22/12/2024,608993,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,EDUC COMPUTERS & EQPT HARDWARE,Revenue,1,525.46
WF,SU1297515,SYSTEM INFORMATION TECHNOLOGY LTD,22/12/2024,608997,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,CURRICULUM PHOTOCOPIER USAGE,Revenue,1,300.92
WF,SU1363503,GORDON GRAHAM ROADMARKINGS LTD,04/12/2024,591923,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,HIGHWAYS: CONTRACTOR,Capital,1,"10,659.31"
WF,SU1363503,GORDON GRAHAM ROADMARKINGS LTD,05/12/2024,592736,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,HIGHWAYS: CONTRACTOR,Capital,1,"3,410.61"
WF,SU1363503,GORDON GRAHAM ROADMARKINGS LTD,19/12/2024,606987,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,HIGHWAYS: CONTRACTOR,Capital,1,"15,532.12"
WF,SU1363503,GORDON GRAHAM ROADMARKINGS LTD,19/12/2024,607311,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,HIGHWAYS: CONTRACTOR,Capital,1,"5,804.85"
WF,SU1363503,GORDON GRAHAM ROADMARKINGS LTD,20/12/2024,607862,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,HIGHWAYS: CONTRACTOR,Capital,1,"3,237.90"
WF,SU1363503,GORDON GRAHAM ROADMARKINGS LTD,23/12/2024,610702,LOCALITY BOARDS,LOCALITY BOARDS               ,NON ILLUMINATED TRAF SIGNS,Revenue,1,"2,740.87"
WF,SU1363503,GORDON GRAHAM ROADMARKINGS LTD,23/12/2024,610703,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,NON ILLUMINATED TRAF SIGNS,Revenue,1,"14,916.74"
WF,SU1394391,DORMA UK LTD,02/12/2024,588140,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,475.24
WF,SU1409835,KIELY BROS LTD,04/12/2024,591951,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,HIGHWAYS: CONTRACTOR,Capital,1,"3,384.00"
