Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,SU11451,ADT FIRE AND SECURITY PLC,10/06/2024,413651,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,"1,787.68"
WF,SU39531,ASHLEA LTD,13/06/2024,420654,THRIVING PLACES,CLIMATE & NATURAL ENVIRONMENT ,GROUNDS MAINTENANCE,Revenue,1,691.03
WF,SU39531,ASHLEA LTD,13/06/2024,420655,THRIVING PLACES,CLIMATE & NATURAL ENVIRONMENT ,GROUNDS MAINTENANCE,Revenue,1,691.03
WF,SU46551,ATKINSON BUILDING CONTRACTORS LTD,04/06/2024,407970,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,337.97
WF,SU84459,B & K BUILDERS LTD,11/06/2024,415470,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,267
WF,SU84459,B & K BUILDERS LTD,11/06/2024,415473,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,055.89"
WF,SU84459,B & K BUILDERS LTD,17/06/2024,422072,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,419.99
WF,SU84459,B & K BUILDERS LTD,20/06/2024,426842,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"2,989.00"
WF,SU97095,BORDER FOOD MACHINERY LTD,25/06/2024,428614,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,MEAL COSTS,Revenue,1,598
WF,SU112539,BRAMPTON WOODWORKS,29/05/2024,405028,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,GROUNDS MAINTENANCE,Revenue,1,366
WF,SU112539,BRAMPTON WOODWORKS,07/06/2024,413081,COUNTY COST CENTRES,,GROUNDS MAINTENANCE,Revenue,1,"3,353.20"
WF,SU127983,CARLISLE GLASS LONGHORN LTD,10/06/2024,413409,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,REPAIRS & MAINTENANCE,Revenue,1,970.83
WF,SU160275,CONTINENTAL LANDSCAPING LT,31/05/2024,406876,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,1,"64,088.96"
WF,SU160275,CONTINENTAL LANDSCAPING LT,31/05/2024,406876,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,2,"13,451.80"
WF,SU160275,CONTINENTAL LANDSCAPING LT,31/05/2024,406876,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,3,"2,522.21"
