Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,SU11451,ADT FIRE AND SECURITY PLC,04/09/2024,501869,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,392.60
WF,SU39531,ASHLEA LTD,05/09/2024,502816,THRIVING PLACES,CLIMATE & NATURAL ENVIRONMENT ,GROUNDS MAINTENANCE,Revenue,1,691.03
WF,SU39531,ASHLEA LTD,05/09/2024,502818,THRIVING PLACES,CLIMATE & NATURAL ENVIRONMENT ,GROUNDS MAINTENANCE,Revenue,1,691.03
WF,SU71823,BELL DECORATING GROUP LIMITED,26/09/2024,523134,ADULT SERVICES,SERVICE PROVISION             ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"3,562.00"
WF,SU84459,B & K BUILDERS LTD,06/09/2024,503734,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,1,"136,448.50"
WF,SU84459,B & K BUILDERS LTD,26/09/2024,523137,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,638.00
WF,SU84459,B & K BUILDERS LTD,27/09/2024,523655,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,802.00
WF,SU84459,B & K BUILDERS LTD,27/09/2024,523658,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,462.00
WF,SU84459,B & K BUILDERS LTD,30/09/2024,524331,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,338.80
WF,SU84459,B & K BUILDERS LTD,30/09/2024,524344,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,315.60
WF,SU97095,BORDER FOOD MACHINERY LTD,13/09/2024,511180,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,398.00
WF,SU97095,BORDER FOOD MACHINERY LTD,13/09/2024,511241,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,SCHOOLS ONLY BLDING WK CAPITAL,Revenue,1,"7,755.00"
WF,SU98499,BORDER FLOOR LTD,13/09/2024,511229,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,REPAIRS & MAINTENANCE,Revenue,1,380.00
WF,SU98499,BORDER FLOOR LTD,17/09/2024,512412,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,"2,250.00"
WF,SU101307,CHRIS BOWKER LTD,09/09/2024,505157,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,947.25
WF,SU101307,CHRIS BOWKER LTD,09/09/2024,505157,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,605.25
