Wigan Council orgn ref E08000010,,,
Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Academy Class,07/04/2020,"Education, Training, Exam Fees",716.40
Amazon.Co.Uk*3q9hp4qk5,16/04/2020,Equipment Furniture & Materials,689.00
Amazon.Co.Uk*mf9rx6sz4,08/03/2021,Equipment Furniture & Materials,899.10
Amznmktplace,06/05/2020,Equipment Furniture & Materials,877.62
Amznmktplace,05/06/2020,"Books, Publications and Resources",565.29
Amznmktplace,14/08/2020,Equipment Furniture & Materials,590.81
Amznmktplace,03/02/2021,Equipment Furniture & Materials,766.63
Aquarius Bedrooms And,04/06/2020,Equipment Furniture & Materials,875.00
Aquarius Bedrooms And,11/02/2021,Equipment Furniture & Materials,996.67
Argos Ltd,10/04/2020,Grants to External Bodies,619.69
Argos Ltd,14/05/2020,Grants to External Bodies,647.93
Argos Ltd,14/04/2020,Payments to Carers,715.95
Argos Ltd,10/04/2020,Payments to Carers,829.93
Argos Ltd,05/06/2020,Equipment Furniture & Materials,599.00
Argos Ltd,09/09/2020,Equipment Furniture & Materials,732.95
Argos Ltd,01/10/2020,Equipment Furniture & Materials,732.95
Argos Ltd,07/10/2020,Grants to External Bodies,536.95
Argos Ltd,07/10/2020,Grants to External Bodies,705.95
Argos Ltd,23/11/2020,Grants to External Bodies,734.95
Argos Ltd,07/12/2020,Grants to External Bodies,524.72
Argos Ltd,04/03/2021,Equipment Furniture & Materials,821.93
Argos Ltd,08/03/2021,Equipment Furniture & Materials,522.95
Arriva UK Bus,05/11/2020,Home To School,636.80
Asda George Com Leeds,05/05/2020,Furnished Accomodation,737.08
Asda Store 4726,10/04/2020,Equipment Furniture & Materials,500.00
Asda Superstore,11/05/2020,Equipment Furniture & Materials,"3,500.00"
Asda Superstore,15/06/2020,Equipment Furniture & Materials,500.00
Ayrefield Developments Li,24/08/2020,Payments to Private Contractors,658.33
Baker Ross,11/01/2021,Printing & Stationery Supplies,541.76
Beds 4 U,14/04/2020,Equipment Furniture & Materials,748.00
Bensonsforbedsretail,04/03/2021,Equipment Furniture & Materials,500.00
Bensonsforbedsretail,04/03/2021,Equipment Furniture & Materials,500.00
Bowker Lettings,21/07/2020,Payments to Private Contractors,583.33
Bowker Lettings,19/11/2020,Payments to Private Contractors,500.00
Brickhouse Farm Cottages,10/04/2020,Payments to Carers,750.00
Brickhouse Farm Cottages,21/01/2021,Employee Subsistence,500.00
C & D Systems Ltd,09/06/2020,Computer Software (Licences & Maintenance),820.00
Certsure Llp,03/12/2020,"Education, Training, Exam Fees",660.00
Chorley Nissan Wigan,08/03/2021,Equipment Furniture & Materials,649.00
Currys Online,01/05/2020,Computer Equipment,822.50
Currys Online,01/05/2020,Computer Equipment,826.67
Currys Online,07/01/2021,Grants to External Bodies,636.65
Dfs Trading Limited,03/04/2020,Equipment Furniture & Materials,"2,026.00"
Dfs Trading Limited,04/06/2020,Equipment Furniture & Materials,"1,458.00"
Dfs Trading Limited,06/07/2020,Equipment Furniture & Materials,868.00
Discover Holidays Ltd,14/08/2020,Employee Transport Costs,500
Discover Holidays Ltd,14/08/2020,Employee Transport Costs,500
Dootson Llp,24/08/2020,Professional Fees,978.75
E.On Energy Solutions,04/03/2021,Equipment Furniture & Materials,500.00
Express Furniture,19/10/2020,Equipment Furniture & Materials,"1,114.00"
Facebk Zjprttnpw2,03/09/2020,Advertising (Non Employee),600.58
Facebk Zjprttnpw2,01/10/2020,Advertising (Non Employee),600.58
Fr Jones And Son Ltd,03/07/2020,Grounds Maintenance,595.00
G2m Capital Limited,06/08/2020,Payments to Private Contractors,500
Gift Card,05/08/2020,Payments to Carers,500
