Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Taylored Investments Ltd,08/07/2022,Equipment Furniture & Materials,1040.83
Tesco,14/07/2022,Payments to Private Contractors,508.75
Printed4You Ltd,10/03/2023,Equipment Furniture & Materials,1650
Screwfix Direct Ltd,16/03/2023,Equipment Furniture & Materials,559.37
Ryanair 224k99v4v,03/11/2022,Equipment Furniture & Materials,565.46
Smc Coach Hire Ltd,04/10/2022,Equipment Furniture & Materials,1493.5
Go Outdoors Retail Limite,09/01/2023,Marketing & Publicity,500
Argos Ltd,10/05/2022,Equipment Furniture & Materials,1292.95
Argos Ltd,09/03/2023,Equipment Furniture & Materials,572.95
Isaca,09/12/2022,Equipment Furniture & Materials,515.74
Zoom.Us 888-799-9666,02/12/2022,Computer Equipment,599.9
Doncaster Mbc,22/12/2022,Grants to External Bodies,645.1
Amznmktplace,13/02/2023,Grants to External Bodies,824.95
Ikea Ltd Shop Online,10/06/2022,Grants to External Bodies,633
Paypal *cdssupersto,06/09/2022,Grants to External Bodies,734.98
Argos Ltd,10/06/2022,Grants to External Bodies,507.95
Argos Ltd,10/06/2022,Grants to External Bodies,507.95
Argos Ltd,10/08/2022,Grants to External Bodies,556
Argos Ltd,13/10/2022,Grants to External Bodies,590.5
Argos Ltd,16/01/2023,Grants to External Bodies,559.44
Argos Ltd,13/02/2023,Grants to External Bodies,521.95
Argos Ltd,13/02/2023,Grants to External Bodies,585.94
Paypal *argosdirect,10/03/2023,Grants to External Bodies,595
Premier Inn,06/01/2023,Payments to Private Contractors,512.86
The Mercury Hotel,06/01/2023,Payments to Private Contractors,762.5
Funeral Svs Ltd,07/06/2022,Equipment Furniture & Materials,1077
Argos Ltd,05/10/2022,Equipment Furniture & Materials,633.95
Argos Ltd,05/12/2022,Equipment Furniture & Materials,543.95
Adrian Flux Insurance,07/03/2023,Equipment Furniture & Materials,1377
Jet2.Com Gbp0008007227653,06/02/2023,Employee Transport Costs,1599
Built Environment Netw,06/02/2023,Conferences,739.5
Leeds Marriott Hotel Foh,07/03/2023,Employee Subsistence,757
Platt & Fishwick Ltd,09/06/2022,Professional Fees,2615
Arriva UK Bus,09/06/2022,Home To School,651.5
Arriva UK Bus,06/10/2022,Home To School,707.3
Workplace Products,09/02/2023,Equipment Furniture & Materials,571.38
The Mercury Hotel,06/02/2023,Employee Subsistence,540
Holiday Inn Express Leigh,12/07/2022,Equipment Furniture & Materials,997.5
Thetrainline.Com,14/10/2022,Employee Transport Costs,574.22
Www.Libertygames.Co.Uk,07/11/2022,Equipment Furniture & Materials,665.83
Coolmed Limited,09/12/2022,Equipment Furniture & Materials,599.99
Nbbmatting.Co.Uk,07/11/2022,Equipment Furniture & Materials,622
Sp Electric Mania,13/01/2023,Equipment Furniture & Materials,681.89
Sp Electric Mania,13/01/2023,Equipment Furniture & Materials,991.84
Sp Electric Mania,13/01/2023,Equipment Furniture & Materials,991.84
Sp Electric Mania,13/01/2023,Equipment Furniture & Materials,991.84
Sp Electric Mania,13/01/2023,Equipment Furniture & Materials,991.84
Www.Irrv.Org.Uk,03/02/2023,Equipment Furniture & Materials,1872
Stephensons Solicitors,07/02/2023,Equipment Furniture & Materials,500
Stephensons Solicitors,07/02/2023,Equipment Furniture & Materials,500
Argos Ltd,08/08/2022,Equipment Furniture & Materials,551.95
Argos Ltd,08/08/2022,Equipment Furniture & Materials,675.95
Dunelm Softfurnishings,03/11/2022,Equipment Furniture & Materials,962
Rics Com Gbp Cybs,08/03/2023,Equipment Furniture & Materials,828
Rics Subs UK Cybs,04/04/2022,Equipment Furniture & Materials,539
Rics Subs UK Cybs,03/02/2023,Equipment Furniture & Materials,539
Rics Subs UK Cybs,03/02/2023,Equipment Furniture & Materials,539
Rics Subs UK Cybs,03/02/2023,Equipment Furniture & Materials,539
Rics Subs UK Cybs,03/02/2023,Equipment Furniture & Materials,539
Rics Subs UK Cybs,09/03/2023,Equipment Furniture & Materials,539
Argos Ltd,03/11/2022,Equipment Furniture & Materials,922.95
Fysiosuppliesbvnl,05/12/2022,Equipment Furniture & Materials,4843.27
Coast Apartments,06/09/2022,Equipment Furniture & Materials,573
Oak Furnitureland Group L,06/09/2022,Equipment Furniture & Materials,2433.96
Oak Furnitureland Group L,07/02/2023,Equipment Furniture & Materials,2379.96
Www.Haven.Com,05/07/2022,Equipment Furniture & Materials,759
Holiday Payment Avr,08/06/2022,Equipment Furniture & Materials,2050
Halfords On Line,08/06/2022,Equipment Furniture & Materials,1319
Enviroment Agency,06/06/2022,Waste and Recycling,3960.55
Amznmktplace,07/09/2022,Direct Materials,595
