Payments for Publishing for Invoices paid between 01-OCT-2023 and 31-OCT-2023,,,,,,,
Supplier Name,Transaction Number,Paid Date,Paid Amount,Department ,Cost Centre,Description,Irrecoverable VAT
1 CALL BUSINESS SOLUTIONS LIMITED,148979,13-OCT-2023,"6,600.00",Law & Governance (Monitoring Officer),B7700,General Supplies and Services,
1 CALL BUSINESS SOLUTIONS LIMITED,151200,24-OCT-2023,"1,895.00",Capital,C0324,Contractors - Main,
1 CALL BUSINESS SOLUTIONS LIMITED,151200,24-OCT-2023,"3,790.00",Capital,C2162,Contractors - Main,
1 CALL BUSINESS SOLUTIONS LIMITED,151200,24-OCT-2023,325.50,Regeneration & Place,D2180,"Repairs, alterations and maintenance",
1 CALL BUSINESS SOLUTIONS LIMITED,151200,24-OCT-2023,890.00,Regeneration & Place,D2510,"Repairs, alterations and maintenance",
1 CALL BUSINESS SOLUTIONS LIMITED,151200,24-OCT-2023,731.50,Regeneration & Place,D2550,"Repairs, alterations and maintenance",
1 CALL BUSINESS SOLUTIONS LIMITED,151200,24-OCT-2023,731.50,Regeneration & Place,D2620,"Repairs, alterations and maintenance",
1 CALL BUSINESS SOLUTIONS LIMITED,151200,24-OCT-2023,117.50,Regeneration & Place,D2640,"Repairs, alterations and maintenance",
1 CALL BUSINESS SOLUTIONS LIMITED,151200,24-OCT-2023,117.50,Neighbourhood Services,D3512,"Repairs, alterations and maintenance",
1 CALL BUSINESS SOLUTIONS LIMITED,151200,24-OCT-2023,307.00,Neighbourhood Services,D3520,"Repairs, alterations and maintenance",
1 CALL BUSINESS SOLUTIONS LIMITED,151200,24-OCT-2023,189.50,Regeneration & Place,I5210,"Repairs, alterations and maintenance",
1ST AFFINITY FOSTERING SERVICE LIMITED,146081,03-OCT-2023,"3,685.80","Children, Families & Education",E7080,Care Provision,
1ST ENABLE LIMITED,146952,09-OCT-2023,"13,062.56",Adults Care and Health and Strategic Commissioning,S6005,Care Provision,
1ST ENABLE LIMITED,146952,09-OCT-2023,"3,716.44",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
1ST ENABLE LIMITED,146952,09-OCT-2023,"2,176.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
1ST ENABLE LIMITED,146952,09-OCT-2023,"20,135.13",Adults Care and Health and Strategic Commissioning,S6132,Learning & Disability Support - Adults (18-64),
1ST ENABLE LIMITED,146952,09-OCT-2023,"2,720.00",Adults Care and Health and Strategic Commissioning,S6141,Learning & Disability Support - Adults (18-64),
1ST ENABLE LIMITED,146952,09-OCT-2023,"8,572.34",Adults Care and Health and Strategic Commissioning,S6141,Learning & Disability Support - Adults (18-64),
1ST ENABLE LIMITED,146952,09-OCT-2023,"1,372.00",Adults Care and Health and Strategic Commissioning,S6152,Learning & Disability Support - Adults (18-64),
