Cost Centre,Account,Expense Type,Supplier,Supplier Name,Trans,Payment,Amount
,,,ID,,No.,Date,excl vat
Head of Operational Assets - Rail Car Parks,60395,Physical Construction,10002,Serfis Construction & Engineering Ltd.,7040553,45147,6287.8
Head of Operational Assets - Rail Car Parks,60395,Physical Construction,10002,Serfis Construction & Engineering Ltd.,7040681,45161,4099
Create Central Projects,31572,Consultants,10026,European Innovation,7040232,45140,2083
Create Central Projects,31572,Consultants,10073,Laura McCaughey,7040436,45147,2750
Create Central Projects,31572,Consultants,10073,Laura McCaughey,7040730,45154,2500
Director of Housing & Regeneration,60001,Project Support Costs,10081,M & B G Ltd,7040296,45140,3139
Create Central Projects,31572,Consultants,10099,Samantha Thodhlana,7040779,45156,1400
Sustainable Travel,31770,Marketing,10105,Updates Media Ltd,7040366,45147,5750
West Midlands Cycle Hire,31770,Marketing,10105,Updates Media Ltd,7040366,45147,4000
Create Central Projects,31572,Consultants,10115,Rationale Consulting,7040338,45147,5500
Metro Programme Director,60780,General Expenditure,10116,Acivico Limited,3003715,45163,1230
Sprint,60001,Project Support Costs,10200,Matchtech Group UK Ltd,7039477,45161,776.25
Sprint,60001,Project Support Costs,10200,Matchtech Group UK Ltd,7040486,45147,776.25
Sprint,60001,Project Support Costs,10200,Matchtech Group UK Ltd,7040629,45152,776.25
Sprint,60001,Project Support Costs,10200,Matchtech Group UK Ltd,7041225,45168,776.25
Sprint,60001,Project Support Costs,10200,Matchtech Group UK Ltd,7041226,45168,776.25
Director of Development & Delivery,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7040463,45142,250931.04
Investment Programme Financing,60395,Physical Construction,10202,VolkerFitzpatrick Limited,7040568,45152,1302632.56
Future Mobility Zone to FTZ – DRT University of Warwick,31571,External Advice,10214,MUSTARD MARKET RESEARCH LTD,7041271,45168,14995
Director of Network Resilience,60638,CCTV Supply and Installation,10242,Hi-Lite Electrical Ltd.,7040896,45156,1625
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,10255,TRL Limited,7040307,45140,10000
Safety and Security Manager,31578,Management Fees,10259,ITAL Group Ltd,7041273,45168,1024.54
Safety and Security Manager,31578,Management Fees,10259,ITAL Group Ltd,7041275,45168,1024.54
Metro Programme Director,60343,Site Office Costs,10292,Savills UK LTD,7040858,45168,7450.75
Director of Network Resilience,31770,Marketing,10295,BBJ&K Ltd,7040519,45154,1000
Safety and Security Manager,31576,Safety & Security,10300,IMImobile Europe Ltd,7040683,45154,835
Head of Policy & Public Affairs,31572,Consultants,10321,INITIATIVE FOR SOCIAL ENTREPRENEURS C.I.C.,7041157,45163,34000
ICT Project,31571,External Advice,10348,Projective Consulting Limited,7040831,45156,900
Safety and Security Manager,31769,Promotional Material,10389,7video Ltd,7040542,45147,1200
Director of Midlands Connect,31767,Events / Exhibitions,10396,Goodbye Blue Monday Ltd,7041023,45161,800
Digital,31571,External Advice,10401,Birmingham Tech CIC,7041015,45161,5593.75
Industrial Strategy,31572,Consultants,10401,Birmingham Tech CIC,7041016,45161,3855
UKSPF,31671,Revenue Contributions to Third Parties,10401,Birmingham Tech CIC,7041014,45161,20000
Adult Education,31571,External Advice,10405,Good Things Foundation,7040424,45142,5240
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,10422,Busters Group,7040585,45147,1001
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,10422,Busters Group,7040827,45161,577.5
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7040320,45140,210651.89
Director of Integrated Network Services,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7040321,45140,26859.68
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7040322,45140,16166.98
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7040439,45142,98940.95
Create Central Projects,31572,Consultants,10454,Zanna Creative,7040891,45161,7083
Environment,31571,External Advice,10475,Bankers without Boundaries Limited,7040829,45156,14896.5
Future Mobility Zone to FTZ – DRT University of Warwick,31571,External Advice,10480,Via Technologies Europe BV,7039588,45139,1500
Future Mobility Zone to FTZ – DRT University of Warwick,31571,External Advice,10480,Via Technologies Europe BV,7040559,45159,4750
Future Mobility Zone to FTZ – DRT University of Warwick,60001,Project Support Costs,10480,Via Technologies Europe BV,7039588,45139,3250
Homelessness,31671,Revenue Contributions to Third Parties,10481,Homeless Link,7040731,45154,1880
Director of Housing & Regeneration,31577,Professional Advice,10487,Currie & Brown UK Ltd,7040363,45142,1350
Head of Bus,31671,Revenue Contributions to Third Parties,10525,Shencare Community Transport,3003728,45168,6274.36
Metro Programme Director,60001,Project Support Costs,10527,CAF Rail UK Limited,7039331,45142,98940.98
Industrial Strategy,31572,Consultants,10537,West Midlands Health Technologies Cluster ltd,7040582,45147,3125
Sprint,60001,Project Support Costs,10547,RCS Utility Solutions Ltd,7040536,45147,8800
Head of IT Delivery,31609,IT Consumables,10560,CCS Media Limited,7041159,45163,771.6
Head of IT Delivery,31609,IT Consumables,10560,CCS Media Limited,7041160,45163,1266.3
Create Central Projects,31572,Consultants,10561,Martin Simms,7041013,45161,2667
Industrial Strategy,31572,Consultants,10587,Sustainability West Midlands,7040599,45154,4375
Head of Governance,30008,Agency Staff ( Established Posts),10603,Vivid Resourcing a division of G2V Recruitment Gr,7037506,45161,2350.42
Head of Governance,30008,Agency Staff ( Established Posts),10603,Vivid Resourcing a division of G2V Recruitment Gr,7041118,45161,2480
