Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?,DG Group,Director
"Housing, Communities & Local Government",MHCLG,02/09/2024,Cap Grants to Local Authorities (DEL),Local Government & Public Services,BIRMINGHAM CITY CNCL,3700286625,Grant payable by the Exchequer,B2 2AJ,"£160,000.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Cap Grants to Local Authorities (DEL),Local Government & Public Services,GREATER LONDON AUTHORITY,3700286629,Grant payable by the Exchequer,SE10 1AJ,"£2,500,741.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Cap Grants to Local Authorities (DEL),Local Government & Public Services,HOMES ENGLAND,2100345028,Monthly Grant Claim SHAP CDEL 24/25,NE4 5BZ,"£3,130,754.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Cap Grants to Local Authorities (DEL),Local Government & Public Services,PLYMOUTH CITY CNCL,3700286622,Grant payable by the Exchequer,PL1 2AA,"£182,000.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BIRMINGHAM CITY CNCL,3700286630,Grant payable by the Exchequer,B2 2AJ,"£30,624.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRISTOL CITY CNCL,3700286623,Grant payable by the Exchequer,BS3 9FS,"£29,908.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BRISTOL CITY CNCL,3700286628,Grant payable by the Exchequer,BS3 9FS,"£33,565.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,GREATER MANCHESTER COMBINED AUT,3700286631,Grant payable by the Exchequer,M27 8US,"£46,150.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,HOMES ENGLAND,2100345029,Monthly Grant Claim SHAP RDEL 24/25,NE4 5BZ,"£62,893.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,LIVERPOOL CITY REGION COMB AUT,3700286627,Grant payable by the Exchequer,L3 1BP,"£34,635.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,OXFORD CITY COUNCIL,3700286632,Grant payable by the Exchequer,OX1 1DS,"£68,250.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,ROTHERHAM MBC,3700286621,Grant payable by the Exchequer,S60 1AE,"£59,774.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,STOKE ON TRENT CITY COUNCIL,3700286626,Grant payable by the Exchequer,ST4 1HH,"£62,717.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current Grants to Non Profit Bodies,Local Government & Public Services,It Takes A City (Cambridge),3700286619,Grant payable by the Exchequer,CB2 3AR,"£41,750.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,Current Grants to Non Profit Bodies,Local Government & Public Services,SWINDON NIGHT SHELTER,3700286618,Grant payable by the Exchequer,SN3 1AR,"£67,445.00",Yes,Local Government & Public Services,Penny Hobman
"Housing, Communities & Local Government",MHCLG,02/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,"Local Growth, Communities and Devolution",Ipsos (market research) Ltd,5106314813,EIP   Extension of Public Opinion Survey,E1W 1YW,"£103,024.00",,"Local Growth, Communities and Devolution",Stuart Ison
"Housing, Communities & Local Government",MHCLG,02/09/2024,Professional services,Safer and Greener Buildings,DELOITTE  LLP,5106314806,Consultancy,MK9 1FD,"£39,300.00",,Safer and Greener Buildings,Ben Llewellyn
"Housing, Communities & Local Government",MHCLG,02/09/2024,Property/Estates Consultancy,Regeneration Housing and Planning,Nathaniel Lichfield & Partners Ltd,5106314814,Planning Consultants,EC3R 7AG,"£27,461.83",,Regeneration Housing and Planning,Joanna Averley
"Housing, Communities & Local Government",MHCLG,03/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",Friends of Downe Activity Centre,2100345093,COF24 068 FRIENDS OF DOWNE ACTIVITY CENTRE,BR6 7EW,"£350,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,03/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",MALLARD COMMUNITY CHARITABLE HUB LT,2100345095,COF23 179 MALLARD COMMUNITY CHARITABLE HUB LIMITED,BT94 2FY,"£55,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,03/09/2024,Current Grants to Non Profit Bodies,"Local Growth, Communities and Devolution",Friends of Downe Activity Centre,2100345094,COF24 068 FRIENDS OF DOWNE ACTIVITY CENTRE,BR6 7EW,"£40,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
